Q2206-1958 	 22:08:52.08 	-19:43:59.6
Q2206-1958 	 22:08:52.08 	-19:43:59.6
Q2223-0512 	 22:25:47.26 	-04:57:01.4
Q2230+0232 	 22:32:35.27 	+02:47:55.1
Q2231-0015 	 22:34:08.99 	+00:00:01.7
BRB2237-0607 	 22:39:53.62 	-05:52:20.0
Q2239-3836 	 22:42:21.7 	-38:20:17
PSSJ2241+1352 	 22:41:47.8 	+13:52:02
Q2248+0127 	 22:50:39.95 	+01:43:44.9
BRJ2317-4345 	 23:17:26.84 	-43:45:27.5
PSSJ2344+0342 	 23:44:03.2 	+03:42:26
Q2348-0108 	 23:50:57.87 	-00:52:09.9
Q2348-0108 	 23:50:57.87 	-00:52:09.9
Q2351+0217 	 23:54:30.38 	+02:34:10.1
Q2359-0216 	 00:01:50.00 	-01:59:40.0
Q2359-0216 	 00:01:50.00 	-01:59:40.0
Q0001+0842 	 00:03:42.60 	+08:59:32.8
Q0002+151	 00:05:20.2 	+05:24:11
Q0002+151	 00:05:20.2 	+05:24:11
Q0003+158 	 00:05:59.24 	+16:09:48.9
PSSJ0003+2730 	 00:03:23.10 	+27:30:23.0
Q0004+1359       00:00:00       -50:00:00
Q0004+1711 	 00:06:47.36 	+17:28:13.8
Q0006+0230 	 00:08:57.37 	+02:47:36.1
Q0006+0200 	 00:09:31.38 	+02:17:06.3
Q0007-0004 	 00:10:16.52 	+00:12:27.7
Q0007-000 	 00:10:16.52 	+00:12:27.7
Q0007+0141       00:00:00       -50:00:00
Q0007+106 	 00:10:31.01 	+10:58:29.5
Q0009-0138 	00:12:10.89 	-01:22:07.5
Q0009+0219 	 00:12:19.64 	+02:36:36.4
Q0009-0215 	00:12:21.20 	-01:58:58.0
Q0014+8118 	 00:17:08.47 	+81:35:08.1
Q0014-0256 	00:17:21.20 	-02:39:20.0
Q0015+0239 	 00:18:11.37 	+02:56:39.4
Q0016+0045 	 00:19:19.31 	+01:01:52.3
Q0018-0220 	 00:21:27.36 	-02:03:33.5
Q0018+0047 	 00:21:27.88 	+01:04:20.1
Q0020+0217 	 00:23:24.85 	+02:33:58.2
Q0022+0150 	 00:24:35.33 	+02:06:47.9
Q0023+0010 	 00:25:37.29 	+00:27:24.3
Q0025-0151 	 00:27:33.82 	-01:34:52.3
Q0026+0158 	 00:28:44.27 	+02:15:22.1
Q0026+129 	 00:29:13.69 	+13:16:03.9
Q0027+0149 	 00:29:52.14 	+02:06:05.6
Q0028+0236 	 00:30:45.18 	+02:53:28.8
Q0028-0148 	00:30:59.38 -01:31:49.5
Q0029+0017 	 00:31:35.57 	+00:34:20.7
Q0029-0152 	00:31:36.50 -01:36:22.0
PSSJ0030+1702 	 00:30:16.39 	+17:02:40.2
PSSJ0034+1639 	 00:34:54.82 	+16:39:19.5
J0035+0040 	00:35:25.29 +00:40:02.8
Q0037-018 	 00:40:18.20 	-01:37:22.0
Q0039-2630 	 00:42:04.19 	-26:14:04.7
Q0040-2917 	 00:43:08.44 	-29:00:54.8
Q0041-2638 	 00:43:42.80 	-26:22:11.0
Q0041-2707 	 00:43:51.83 	-26:51:28.0
Q0041-2607 	 00:43:58.80 	-25:51:15.4
Q0041-2658 	 00:44:05.90 	-26:42:05.0
Q0041-2859 	 00:44:07.80 	-28:43:10.0
Q0042-3053 	 00:45:02.00 	-30:37:03.0
Q0042-2627 	 00:44:34.10 	-26:11:21.0
Q0042-2656 	 00:44:52.30 	-26:40:09.0
Q0042-2657 	 00:45:19.60 	-26:40:51.0
Q0043-2937 	 00:45:28.63 	-29:20:38.1
Q0044+030 	 00:47:05.91 	+03:19:55.0
Q0045-3002 	00:47:30.73 -29:46:29.6
Q0045-0341 	 00:47:50.10 	-03:25:31.0
Q0045-013 	 00:48:06.05 	-01:03:21.6
Q0046-293 	 00:48:29.52 	-29:03:21.2
BRIB0046-2458 	00:48:34.57 -24:42:06.0
Q0047-2759 	 00:50:15.96 	-27:43:16.2
Q0047-3050 	 00:50:20.10 	-30:34:21.0
Q0047-2538 	 00:50:25.00 	-25:22:36.0
Q0047-2326   	 00:00:00       -50:00:00.0
Q0048-0119 	 00:51:02.44 	-01:02:44.6
Q0048-2545 	 00:51:02.30 	-25:28:48.0
Q0049-0104 	 00:51:38.33 	-00:48:12.0
Q0049-0012 	 00:51:57.24 	+00:03:54.7
Q0049+007 	 00:52:02.39 	+01:01:29.3
Q0049+014 	 00:52:33.72 	+01:40:40.6
Q0049+171 	 00:51:54.81 	+17:25:58.9
Q0050+124 	 00:53:35.08 	+12:41:34.4
Q0050-2523 	 00:52:44.70 	-25:06:52.8
Q0051-0226 	 00:54:24.40 	-02:10:40.0
Q0052-0058 	 00:54:54.84 	-00:42:44.0
Q0052+251 	 00:54:52.12 	+25:25:39.0
Q0053-0134 	 00:56:14.60 	-01:18:29.0
Q0053-2824 	 00:56:25.07 	-28:08:32.9
Q0054+0200 	 00:56:44.63 	+02:16:30.2
Q0054+144 	 00:57:09.92 	+14:46:10.1
Q0054-006 	 00:57:17.00 	-00:24:33.2
Q0055+0141 	 00:57:37.07 	+01:57:52.6
Q0055-2744 	 00:57:34.91 	-27:28:27.9
