4331.199 	1000    good	ArII 200
4332.030 	1000    good	ArII 50
4333.561 	1000    good	ArI 100
4334.1241 	1000    good	NeI 70   
4335.338 	1000    good	ArI 50
4336.220 	1000    good	NeI 50   
4337.070 	1000    good	Ar II
4338.2314	1000    good
4345.168 	1000    good	ArI 25
4345.8966	1000    good
4348.064 	1000    good	ArII 800
4352.205 	1000    good	ArII 50
4358.327 	1000    good	Hg
4362.066 	1000    good	ArII  25
4363.524 	1000    good	NeI   70   
4363.7945	1000    good
4367.832 	1000    good	ArII  50
4367.87  	1000    good	Ar I  (10)
4369.20  	1000    good	XeII  200  
4369.864 	1000    good	NeII  120   
4370.753 	1000    good	ArII  200
4371.329 	1000    good	ArII  70
4372.49		1000    good
4373.78  	1000    good	XeII  100l 
4374.8579	1000    good
4375.948 	1000    good	Ar II
4375.954 	1000    good	ArII  50
4379.401 	1000    good	NeII  70   
4379.552 	1000    good	NeII  150   
4379.666 	1000    good	ArII  150
4379.879 	1000    good	Ar II (5)
4382.928	1000    good
4383.7535	1000    good
4385.0566	1000    good
4385.057 	1000    good	ArII  50
4385.062 	1000    good	NeII  100   
4386.9656	1000    good
4391.995 	1000    good	NeII  200   
4393.20  	1000    good	XeII  500  
4395.556 	1000    good	NeI   50   
4395.77  	1000    good	XeII  500l 
4397.7971	1000    good
4397.99 	1000    good	NeII  150              
4400.096 	1000    good	ArII  70
4400.986 	1000    good	ArII  200
4401.755	1000    good
4404.9022	1000    good
4406.4704	1000    good
4406.88  	1000    good	XeII  200l 
4409.30 	1000    good	NeII  150              
4413.109 	1000    good	NeII  100   
4414.8   	1000    good	XeII  
4416.07  	1000    good	XeII 150l 
4416.8137 	1000    good	NeI 50   
4420.9124	1000    good
4421.39 	1000    good	NeII 100              
4421.5486 	1000    good	NeI 50   
4422.5206 	1000    good	NeI 300   
4423.9944	1000    good
4424.8096 	1000    good	NeI 300   
4425.4000 	1000    good	NeI 150   
4426.001 	1000    good	ArII 400
4428.522 	1000    good	NeII 100   
4428.63 	1000    good	NeII 100   
4430.189 	1000    good	ArII 150
4430.90 	1000    good	NeII 150   
4430.996 	1000    good	ArII 50
4431.004 	1000    good	Ar II (15)
4433.7210 	1000    good	NeI 70   
4433.838 	1000    good	ArII 50
4433.841 	1000    good	Ar II
4434.2   	1000    good	XeIII 50 
4438.1175	1000    good
4439.461 	1000    good	ArII 20
4439.878 	1000    good	Ar II (4)
4440.122 	1000    good	Ar II (4)
4445.8483	1000    good
4448.13  	1000    good	XeII 500  
4448.459 	1000    good	Ar II (3)
4448.879 	1000    good	ArII 35
4448.881 	1000    good	Ar II (8)
4449.5206	1000    good
4457.05 	1000    good	NeII 120              
4460.1750 	1000    good	NeI 100   
4460.53  	1000    good	Ar I  (10)
