3872.1371	1000    doublet
3875.2645	1000    doublet
3880.3332	1000    good
3891.4017	1000   	doublet
3891.9792	1000    doublet
3894.66		1000    doublet
3895.2502	1000    doublet
3900.6266	1000    good
3911.576	1000    good
3914.7675	1000    good
3925.7188	1000    doublet
3926.0456	1000    doublet
3928.6233	1000    doublet
3931.2359	1000    doublet
3932.5466	1000    doublet
3944.2717	1000    doublet
3946.0971	1000    doublet
3947.5046	1000    doublet
3948.9789	1000    doublet
3952.7291	1000    good
3958.38		1000    good
3968.3594	1000    good
3974.4766	1000    doublet
3974.759	1000    doublet
3979.3559	1000    doublet
3979.7155	1000    doublet
3988.1576	1000    good
3992.0535	1000    doublet
3994.7918	1000    doublet
3999.252	1000    doublet
4001.1379	1000    doublet
4005.3628	1000    good
4011.2093	1000    doublet
4013.8566	1000    doublet
4019.8429	1000    good
4022.629	1000    good
4031.3783	1000    good
4033.8093	1000    good
4035.46		1000    good
4038.8043	1000    good
4042.8937	1000    good
4044.4179	1000    doublet
4045.6773	1000    doublet
4045.9654	1000    doublet
4047.4815	1000    doublet
4052.9208	1000    doublet
4054.5258	1000    doublet
4062.641	1000    doublet
4063.238	1000    doublet
4070.7835	1000    doublet
4072.0047	1000    doublet
4072.3849	1000    doublet
4076.6284	1000    doublet
4076.9432	1000    doublet
4079.5738	1000    good
4082.3872	1000    good
4099.4563	1000    good
4103.9121	1000    good
4112.8153	1000    doublet
4116.3753	1000    doublet
4128.64		1000    doublet
4129.6823	1000    doublet
4131.7235	1000    doublet
4144.2435	1000    good
4156.086	1000    doublet
4158.5905	1000    doublet
4164.1795	1000    good
4168.9682	1000    good
4178.3658	1000    doublet
4179.2973	1000    doublet
4181.8836	1000    good
4189.6511	1000    doublet
4190.7129	1000    doublet
4191.0294	1000    doublet
4198.317	1000    doublet
4199.8891	1000    doublet
4200.6745	1000    doublet
4201.5549	1000    doublet
4201.9715	1000    doublet
4203.4109	1000    doublet
4216.254  	1000    doublet	ArII	
4217.4308	1000    doublet
4218.6649	1000    doublet
4222.6373	1000    doublet
4226.6089	1000    doublet
4226.9876	1000    doublet
4228.158	1000    doublet
4229.8696	1000    doublet
4237.2198	1000    good
4240.826	1000   	good	ArI
4248.956	1000    doublet
4251.1846	1000    doublet
4255.6034	1000    good
4259.3619	1000    good
4266.2864	1000    doublet
4266.5271	1000    doublet
4272.1689	1000    good
4277.5282	1000    good
4282.8976	1000    good
4297.9645	1000    good
4300.1008	1000    doublet
4300.6495	1000    doublet
4309.2392	1000    good
4331.1995	1000    doublet
4332.0297	1000    doublet
4333.5612	1000    doublet
4335.3379	1000    doublet
4337.0708	1000    doublet
4338.2314	1000    doublet
4345.168	1000    doublet
4345.8966	1000    doublet
4348.064	1000    good
4352.2049	1000    good
4362.0662	1000    doublet
4363.7945	1000    doublet
4367.8316	1000    good
4370.7532	1000    doublet
4371.329	1000    doublet
4372.49		1000    doublet
4374.8579	1000    doublet
4375.9542	1000    doublet
4379.6668	1000    good
4382.928	1000    doublet
4383.7535	1000    doublet
4385.0566	1000    doublet
4386.9656	1000    doublet
4397.7971	1000    good
	
