 8082.4580         good	
 8118.5492         good
 8128.9108         good
 8136.4057         good
 8259.3790         good
 8266.0772         good
 8267.1165         good
 8300.3263         good
 8365.7485         good
 8377.6065         good
 8418.4274         good
 8463.3575         good
 8484.4435         good
 8495.3598         good
 8544.6958         good
 8571.3524         good
 8582.9028         good
 8591.2587         good
 8634.6470         good
 8647.0411         good
 8654.3831         good
 8679.4925         good
 8681.9211         good
 8704.1116         good
 8767.5360         good
 8771.6563         good
 8780.6210         good
 8782.0012         good
 8783.7533         good
 8792.5050         good
 8830.9072         good
 8853.8668         good
 8865.3063         good
 8865.7552         good
 8919.5006         good
 8988.5564         good
 9148.6716         good
 9201.7591         good
 9220.0583         good
 9221.5801         good
 9226.6903         good
 9275.5196         good
 9300.8527         good
 9310.5839         good
 9313.9726         good
 9326.5068         good
 9373.3078         good
	
