-----------------------------------------------
Spec.  | Wavelength |  Rel. | gk | Aki       
       |   Vacuum   |  Int. |    | (10^8s-1) 
       |    (A)     |       |    |           
-----------------------------------------------
Xe III |   5240.5   |    60 | _  |           
       |            |       |    |           
Xe II  |   5261.90  |   500 | 4  | 2.2e-01   
Xe II  |   5263.41  |   500 | 4  | 8.5e-01   
Xe II  |   5293.69  |  2000 | 6  | 8.9e-01   
Xe II  |   5310.75  |   300 | _  |           
Xe II  |   5315.35  |  1000 | _  |           
       |            |       |    |           
Xe II  |   5340.82  |  2000 | _  |           
Xe II  |   5364.69  |   200 | _  |           
Xe III |   5368.6   |    30 | _  |           
Xe II  |   5369.56  |   200 | _  |           
Xe II  |   5373.88  |   500 | 2  | 7.1e-01   
       |            |       |    |           
Xe I   |   5394.30  |   100 | _  |           
Xe III |   5402.5   |    50 | _  |           
Xe II  |   5420.66  |  3000 | 6  | 6.2e-01   
Xe II  |   5440.47  |   800 | 2  | 7.4e-01   
Xe II  |   5446.96  |   300 | _  |           
       |            |       |    |           
Xe II  |   5451.96  |   200 | _  |           
Xe II  |   5461.91  |   400 | _  |           
Xe II  |   5474.13  |  1000 | 8  | 9.9e-02   
Xe II  |   5496.39  |  100l | _  |           
Xe III |   5525.9   |    40 | _  |           
       |            |       |    |           
Xe II  |   5527.06  |   200 | _  |           
Xe II  |   5532.61  |   600 | 6  | 8.8e-02   
Xe I   |   5568.17  |   100 | _  |           
Xe II  |   5618.23  |   300 | _  |           
Xe II  |   5660.95  |   300 | _  |           
       |            |       |    |           
Xe II  |   5669.13  |   600 | _  |           
Xe II  |   5672.48  |   150 | _  |           
Xe I   |   5697.33  |   100 | _  |           
Xe II  |   5701.19  |   200 | _  |           
Xe II  |   5717.69  |   200 | _  |           
       |            |       |    |           
Xe II  |   5721.2   |       | 6  | 6.1e-02   
Xe II  |   5728.50  |   500 | _  |           
Xe II  |   5752.63  |   500 | _  |           
Xe II  |   5760.25  |   300 | _  |           
Xe II  |   5777.99  |   300 | _  |           
       |            |       |    |           
Xe II  |   5817.57  |   100 | _  |           
Xe I   |   5825.50  |   300 | _  |           
Xe I   |   5826.41  |   150 | _  |           
Xe I   |   5876.65  |   100 | _  |           
Xe II  |   5894.92  |   300 | _  |           
       |            |       |    |           
Xe I   |   5896.62  |   100 | _  |           
Xe II  |   5906.77  |   200 | _  |           
Xe I   |   5935.81  |   100 | _  |           
Xe II  |   5947.18  |   500 | _  |           
Xe II  |   5972.78  |   300 | _  |           
       |            |       |    |           
Xe II  |   5978.12  |  2000 | 4  | 2.8e-01   
Xe II  |   6010.58  |   200 | _  |           
Xe II  |   6037.87  |  1000 | 6  | 7.5e-02   
Xe II  |   6052.83  |  2000 | 6  | 1.7e-01   
Xe II  |   6095.19  |   600 | _  |           
       |            |       |    |           
