----------------------------------------------------
Spec. | Wavelength | Rel. | gk | Aki       | Acc  
      |   Vacuum   | Int. |    | (10^8s-1) |      
      |    (A)     |      |    |           |      
----------------------------------------------------
He I  |  5877.2536 |  500 | 3  | 2.94e-01  | A'   
He I  |  5877.2688 |      | 5  | 5.29e-01  | A'   
      |            |      |    |           |      
He I  |  5877.5948 |  100 | 3  | 3.92e-01  | A'   
He II |  6561.91   |    8 | _  |           |      
He I  |  6679.9956 |  100 | 5  | 6.38e-01  | A    
He I  |  6869.37   |    3 | _  |           |      
He I  |  7067.127  |  200 | 3  | 1.54e-01  | A    
      |            |      |    |           |      
He I  |  7067.165  |      | 3  | 9.25e-02  | A    
He I  |  7067.658  |   30 | 3  | 3.08e-02  | A    
He I  |  7283.357  |   50 | 1  | 1.81e-01  | A    
He I  |  7818.30   |    1 | _  |           |      
He I  |  8364.009  |    2 | 1  | 7.16e-04  | B'   
      |            |      |    |           |      
He I  |  8364.032  |      | 3  | 7.16e-04  | B'   
He I  |  8364.033  |      | 5  | 7.16e-04  | B'   
He I  |  9065.76   |    2 | _  |           |      
He I  |  9212.87   |    2 | _  |           |      
He I  |  9466.130  |      | 1  | 6.08e-03  | B'   
      |            |      |    |           |      
He I  |  9466.180  |  10* | 3  | 6.08e-03  | B'   
He I  |  9466.184  |  10* | 5  | 6.08e-03  | B'   
He I  |  9519.21   |    4 | _  |           |      
He I  |  9528.78   |    3 | _  |           |      
He I  |  9531.88   |    1 | _  |           |      
      |            |      |    |           |      
He I  |  9606.074  |    1 | 3  | 5.64e-03  | B    
He I  |  9705.2748 |    3 | 3  | 4.77e-03  | B'   
He I  |  9705.2955 |      | 3  | 2.86e-03  | B'   
He I  |  9705.5504 |      | 3  | 9.53e-04  | B'   
He I  | 10030.48   |    6 | _  |           |      
      |            |      |    |           |      
He I  | 10033.91   |    2 | _  |           |      
He II | 10126.4    |   15 | _  |           |      
He I  | 10141.28   |    1 | _  |           |      
He I  | 10314.0468 |      | 3  | 5.47e-04  | B'   
He I  | 10314.0526 |  10* | 5  | 4.92e-03  | B'   
      |            |      |    |           |      
He I  | 10314.0531 |  10* | 7  | 1.97e-02  | B'   
He I  | 10314.0702 |      | 3  | 8.21e-03  | B'   
He I  | 10314.0760 |      | 5  | 1.48e-02  | B'   
He I  | 10314.3581 |    2 | 3  | 1.09e-02  | B'   
He I  | 10670.5840 |    3 | 3  | 7.89e-03  | B'   
      |            |      |    |           |      
He I  | 10670.6090 |      | 3  | 4.73e-03  | B'   
He I  | 10670.9172 |      | 3  | 1.58e-03  | B'   
He I  | 10832.0574 |  300 | 1  | 1.022e-1  | AA   
He I  | 10833.2167 | 1000 | 3  | 1.022e-1  | AA   
He I  | 10833.3064 | 2000 | 5  | 1.022e-1  | AA   
      |            |      |    |           |      
He I  | 10905.1946 |      | 3  | 9.23e-04  | B    
He I  | 10915.9793 |      | 5  | 9.33e-05  | B'   
He I  | 10915.9823 |      | 5  | 3.31e-03  | B'   
He I  | 10915.9823 |      | 9  | 2.12e-02  | B'   
He I  | 10915.9842 |      | 7  | 2.36e-03  | B'   
      |            |      |    |           |      
He I  | 10915.9873 |      | 7  | 1.88e-02  | B'   
He I  | 10916.0349 |    9 | 5  | 1.78e-02  | B'   
He I  | 10920.0524 |    3 | 7  | 2.12e-02  | B    
He I  | 10999.6519 |      | 3  | 4.25e-04  | B'   
He I  | 10999.6520 |      | 5  | 4.76e-04  | B'   
      |            |      |    |           |      
He I  | 10999.6551 |      | 5  | 8.50e-05  | B'   
He I  | 10999.6670 |      | 1  | 5.67e-04  | B'   
He I  | 10999.7054 |      | 3  | 1.42e-04  | B'   
He I  | 10999.7085 |      | 5  | 5.67e-06  | B'   
----------------------------------------------------
