-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ar I    |   5216.226 |       | 3  | 2.1e-03   | D-   
Ar II   |   5216.547 |       | 2  | 1.6e-04   | E    
Ar I    |   5217.752 |       | 3  | 1.3e-03   | D-   
Ar II   |   5218.266 |    20 | _  |           |      
Ar I    |   5222.724 |     7 | 9  | 8.8e-03   | D    
        |            |       |    |           |      
Ar I    |   5242.552 |       | 5  | 1.3e-03   | D-   
Ar I    |   5247.658 |       | 7  | 1.2e-03   | E    
Ar I    |   5250.626 |       | 5  | 7.9e-04   | E    
Ar I    |   5254.249 |       | 7  | 5.4e-03   | D-   
Ar I    |   5255.933 |       | 5  | 3.6e-03   | E    
        |            |       |    |           |      
Ar I    |   5287.540 |       | 7  | 9.6e-04   | E    
Ar II   |   5288.358 |       | 4  | 2e-03     | C    
Ar I    |   5291.487 |       | 3  | 9.0e-04   | E    
Ar I    |   5310.990 |       | 5  | 1.2e-03   | E    
Ar I    |   5319.194 |       | 7  | 2.6e-03   | E    
        |            |       |    |           |      
Ar I    |   5374.988 |       | 5  | 2.7e-03   | D-   
Ar I    |   5395.478 |       | 5  | 9.6e-04   | D-   
Ar I    |   5411.979 |       | 7  | 2.0e-03   | D-   
Ar I    |   5422.858 |     5 | 5  | 6.0e-03   | D    
Ar I    |   5441.501 |       | 3  | 1.9e-03   | D+   
        |            |       |    |           |      
Ar I    |   5443.759 |       | 7  | 9.3e-04   | D    
Ar I    |   5453.167 |    10 | 5  | 4.7e-03   | D+   
Ar I    |   5458.932 |       | 3  | 3.6e-03   | D    
Ar I    |   5461.168 |       | 7  | 3.8e-04   | D    
Ar I    |   5468.680 |       | 5  | 7.6e-04   | D    
        |            |       |    |           |      
Ar I    |   5474.972 |       | 3  | 2.0e-03   | D    
Ar I    |   5491.645 |       | 5  | 8.5e-04   | D    
Ar I    |   5493.606 |       | 1  | 5.6e-03   | E    
Ar I    |   5497.400 |    25 | 9  | 1.69e-02  | C    
Ar I    |   5507.642 |     5 | 7  | 3.6e-03   | D+   
        |            |       |    |           |      
Ar I    |   5526.491 |       | 7  | 1.7e-03   | D+   
Ar I    |   5530.497 |       | 3  | 1.2e-03   | E    
Ar X    |   5535.6   |       | 2  | 1.06e-06  | B    
Ar I    |   5536.017 |       | 3  | 2.7e-03   | D+   
Ar I    |   5542.399 |       | 5  | 4.1e-04   | D    
        |            |       |    |           |      
Ar I    |   5554.284 |       | 3  | 7.9e-04   | E    
Ar I    |   5560.245 |    25 | 5  | 1.42e-02  | C    
Ar I    |   5561.220 |       | 5  | 2.2e-03   | D+   
Ar I    |   5574.089 |    10 | 7  | 6.6e-03   | C    
Ar I    |   5575.776 |       | 5  | 4.6e-04   | D    
        |            |       |    |           |      
Ar I    |   5583.421 |       | 5  | 5.6e-04   | D+   
Ar I    |   5590.271 |       | 5  | 1.5e-03   | D+   
Ar I    |   5599.030 |       | 7  | 4.2e-03   | E    
Ar I    |   5608.289 |    35 | 3  | 2.20e-02  | C    
Ar I    |   5619.574 |       | 3  | 2.1e-03   | D    
        |            |       |    |           |      
Ar I    |   5622.482 |       | 1  | 3.6e-03   | D    
Ar I    |   5625.331 |       | 5  | 1.4e-03   | D-   
Ar I    |   5637.141 |       | 5  | 9.6e-04   | D    
Ar I    |   5638.90  |       | 3  | 9.1e-04   | D-   
Ar I    |   5640.69  |       | 3  | 2.1e-03   | D-   
        |            |       |    |           |      
Ar I    |   5642.942 |       | 5  | 8.7e-04   | D    
Ar II   |   5643.995 |       | 2  | 2e-03     | C    
Ar I    |   5650.254 |       | 3  | 1.2e-03   | D    
Ar I    |   5652.272 |    20 | 1  | 3.20e-02  | C    
Ar I    |   5660.697 |       | 5  | 2.6e-03   | D    
        |            |       |    |           |      
Ar I    |   5683.476 |       | 7  | 2.0e-03   | D    
Ar I    |   5685.307 |       | 5  | 2.0e-03   | D    
Ar I    |   5702.454 |       | 7  | 5.9e-03   | D    
Ar I    |   5714.089 |       | 3  | 8.7e-04   | D-   
Ar II   |   5725.913 |       | 2  | 4e-03     | C    
        |            |       |    |           |      
Ar I    |   5741.112 |    10 | 5  | 8.7e-03   | D    
Ar I    |   5773.715 |       | 7  | 2.0e-03   | D    
Ar I    |   5775.610 |       | 5  | 1.1e-03   | D    
Ar I    |   5785.140 |       | 5  | 8.1e-04   | D-   
Ar I    |   5791.079 |       | 5  | 4.6e-04   | D    
        |            |       |    |           |      
Ar I    |   5792.007 |       | 3  | 3.4e-04   | D    
Ar I    |   5803.689 |       | 3  | 4.2e-03   | D    
Ar I    |   5835.881 |     5 | 5  | 5.2e-03   | C    
Ar II   |   5845.397 |       | 4  | 3.8e-04   | E    
Ar I    |   5845.399 |       | 5  | 3.3e-04   | D    
        |            |       |    |           |      
Ar I    |   5861.935 |    10 | 3  | 2.85e-03  | C    
Ar I    |   5884.255 |    15 | 1  | 1.23e-02  | C    
Ar I    |   5890.215 |    25 | 5  | 1.29e-02  | C    
Ar I    |   5913.723 |    50 | 3  | 1.05e-02  | C    
Ar I    |   5918.238 |       | 3  | 5.9e-04   | D    
        |            |       |    |           |      
Ar I    |   5928.767 |       | 7  | 3.7e-04   | D+   
Ar I    |   5930.455 |    15 | 3  | 1.1e-02   | D+   
Ar I    |   5942.501 |       | 3  | 1.2e-03   | D    
Ar I    |   5944.315 |     5 | 5  | 1.8e-03   | D    
Ar I    |   5945.535 |       | 5  | 3.6e-04   | D-   
        |            |       |    |           |      
Ar I    |   5950.907 |       | 3  | 1.5e-03   | D    
Ar II   |   5952.552 |       | 6  | 7e-04     | E    
Ar I    |   5966.13  |       | 3  | 7.7e-04   | D    
Ar I    |   5969.973 |       | 3  | 1.8e-03   | D    
Ar I    |   5973.255 |       | 1  | 1.1e-02   | D+   
        |            |       |    |           |      
Ar I    |   5983.580 |       | 7  | 1.2e-04   | D-   
Ar I    |   5988.960 |     7 | 7  | 1.2e-03   | D    
Ar I    |   5989.802 |       | 5  | 6.1e-04   | D-   
Ar I    |   5996.353 |       | 5  | 2.6e-04   | D    
Ar I    |   6000.660 |     5 | 5  | 1.4e-03   | D    
        |            |       |    |           |      
Ar I    |   6007.388 |       | 3  | 1.4e-03   | D+   
Ar I    |   6015.343 |       | 5  | 1.4e-03   | D+   
Ar I    |   6026.818 |     5 | 3  | 9.0e-03   | D+   
Ar I    |   6033.797 |    70 | 9  | 2.46e-02  | C    
Ar I    |   6044.897 |    35 | 7  | 1.47e-02  | C    
        |            |       |    |           |      
Ar I    |   6054.399 |    10 | 5  | 1.9e-03   | D+   
Ar I    |   6061.050 |    20 | 5  | 4.2e-03   | C    
Ar I    |   6066.429 |       | 7  | 5.8e-04   | D    
Ar II   |   6079.113 |       | 2  | 4e-03     | C    
Ar I    |   6082.927 |       | 3  | 7.5e-04   | D    
        |            |       |    |           |      
Ar I    |   6087.564 |       | 3  | 9.0e-05   |      
Ar I    |   6092.471 |       | 3  | 3.0e-03   | D    
Ar I    |   6100.491 |     7 | 3  | 5.2e-03   | D+   
Ar I    |   6102.850 |       | 3  | 3.3e-03   | D+   
Ar II   |   6105.229 |       | 2  | 1.7e-02   | C-   
        |            |       |    |           |      
Ar I    |   6106.280 |       | 1  | 3.4e-03   | D    
Ar I    |   6107.325 |    10 | 5  | 1.21e-02  | C    
Ar I    |   6115.158 |       | 5  | 4.7e-04   | D+   
Ar II   |   6116.616 |   100 | 8  | 2.00e-01  | B+   
Ar II   |   6120.416 |       | 4  | 1e-03     | E    
        |            |       |    |           |      
Ar I    |   6121.350 |       | 3  | 5.1e-04   | D+   
Ar I    |   6123.574 |       | 5  | 1.3e-04   | D    
Ar II   |   6125.056 |       | 8  | 9e-03     | C+   
Ar I    |   6129.112 |       | 3  | 1.1e-03   | D+   
Ar I    |   6130.420 |       | 5  | 8.6e-04   | D    
        |            |       |    |           |      
Ar V    |   6135.4   |       | 5  | 4.9e-13   | D    
Ar II   |   6140.355 |       | 4  | 1.2e-02   | B    
Ar I    |   6147.142 |    10 | 7  | 7.6e-03   | C    
Ar I    |   6156.942 |       | 3  | 5.1e-03   | D    
Ar I    |   6166.829 |       | 5  | 9.89e-04  | C    
        |            |       |    |           |      
Ar I    |   6171.881 |     7 | 5  | 5.0e-03   | C    
Ar II   |   6173.986 |   150 | 6  | 2.00e-01  | A    
Ar I    |   6174.805 |    10 | 5  | 6.7e-03   | C    
Ar I    |   6181.129 |       | 3  | 6.6e-04   | D    
Ar II   |   6213.966 |       | 4  | 2.1e-05   | E    
        |            |       |    |           |      
Ar I    |   6214.222 |    10 | 7  | 3.9e-03   | D+   
Ar I    |   6217.658 |     5 | 5  | 5.7e-03   | D+   
Ar I    |   6232.645 |       | 5  | 1.2e-04   | D    
Ar II   |   6241.438 |       | 4  | 2e-03     | D    
Ar II   |   6244.847 |    25 | 6  | 3.0e-02   | B    
        |            |       |    |           |      
Ar I    |   6245.117 |       | 1  | 1.3e-03   | D    
Ar I    |   6246.458 |       | 5  | 2.0e-04   | D    
Ar I    |   6250.134 |       | 5  | 6.8e-04   | D    
Ar I    |   6280.382 |       | 7  | 2.0e-04   | D    
Ar I    |   6298.614 |     7 | 5  | 9.0e-03   | D+   
        |            |       |    |           |      
Ar I    |   6309.401 |    15 | 5  | 6.0e-03   | D+   
Ar I    |   6310.905 |       | 3  | 7.6e-04   | D    
Ar I    |   6366.653 |       | 1  | 5.6e-03   | D+   
Ar I    |   6371.336 |     7 | 3  | 4.2e-03   | D+   
Ar I    |   6386.482 |    20 | 3  | 4.21e-03  | C    
        |            |       |    |           |      
Ar II   |   6400.975 |       | 6  | 6e-03     | C    
Ar I    |   6418.080 |    70 | 5  | 1.16e-02  | C    
Ar I    |   6433.332 |       | 3  | 5.1e-04   | D    
Ar V    |   6437.63  |       | 5  | 2.23e-09  | C    
Ar V    |   6437.63  |       | 5  | 3.5e-12   | D    
        |            |       |    |           |      
Ar II   |   6439.379 |       | 4  | 2e-03     | E    
Ar I    |   6468.339 |       | 3  | 1.5e-03   | D    
Ar I    |   6482.936 |       | 3  | 9.4e-04   | D    
Ar II   |   6484.874 |    25 | 2  | 1.06e-01  | C+   
Ar I    |   6495.763 |       | 3  | 3.1e-04   | D    
        |            |       |    |           |      
Ar II   |   6502.011 |       | 4  | 3e-03     | C+   
Ar II   |   6510.899 |       | 6  | 1e-04     | D    
Ar I    |   6515.646 |       | 3  | 5.4e-04   | D    
Ar I    |   6539.918 |    15 | 7  | 1.1e-03   | D+   
Ar I    |   6597.935 |       | 5  | 2.3e-04   | D    
        |            |       |    |           |      
Ar I    |   6600.500 |       | 5  | 3.6e-04   | D    
Ar I    |   6605.835 |       | 5  | 2.8e-03   | D+   
Ar I    |   6606.677 |    15 | 7  | 1.3e-04   | D    
Ar I    |   6633.916 |       | 3  | 5.3e-04   | D    
Ar II   |   6640.053 |    25 | 4  | 1.37e-01  | A-   
        |            |       |    |           |      
Ar II   |   6641.574 |    20 | 2  | 1.69e-01  | A-   
Ar II   |   6645.532 |    50 | 8  | 1.47e-01  | B    
Ar I    |   6658.776 |       | 3  | 3.1e-04   | D    
Ar I    |   6662.516 |     5 | 1  | 7.8e-03   | D    
Ar I    |   6665.891 |     5 | 5  | 1.5e-03   | D+   
        |            |       |    |           |      
Ar II   |   6668.199 |    25 | 2  | 8.8e-02   | B    
Ar I    |   6679.125 |   100 | 1  | 2.36e-03  | C    
Ar II   |   6686.138 |    35 | 6  | 1.07e-01  | B+   
Ar I    |   6686.634 |       | 5  | 3.9e-04   | D    
Ar I    |   6700.320 |       | 3  | 2.5e-04   | D    
        |            |       |    |           |      
Ar I    |   6700.723 |       | 3  | 1.6e-03   | D+   
Ar I    |   6721.073 |       | 3  | 2.4e-03   | D    
Ar I    |   6724.746 |       | 7  | 3.2e-04   | D    
Ar I    |   6754.697 |   150 | 5  | 1.93e-02  | C    
Ar I    |   6756.237 |       | 3  | 2.1e-03   | D    
        |            |       |    |           |      
Ar I    |   6758.028 |     5 | 5  | 3.6e-03   | D+   
Ar II   |   6758.417 |       | 4  | 2.0e-02   | B-   
Ar I    |   6768.479 |    15 | 3  | 4.0e-03   | D+   
Ar I    |   6781.797 |       | 3  | 1.21e-03  | C    
Ar II   |   6810.410 |       | 4  | 7e-03     | C    
        |            |       |    |           |      
Ar I    |   6820.170 |       | 1  | 2.0e-03   | D    
Ar I    |   6829.133 |       | 3  | 2.4e-03   | D    
Ar I    |   6853.775 |       | 5  | 6.7e-04   | D    
Ar II   |   6863.162 |    20 | 4  | 2.4e-02   | C    
Ar II   |   6865.429 |       | 6  | 2.5e-02   | B    
        |            |       |    |           |      
Ar I    |   6873.185 |   150 | 3  | 2.78e-02  | C    
Ar I    |   6881.481 |     5 | 5  | 1.8e-03   | D+   
Ar II   |   6888.512 |       | 8  | 9e-03     | B    
Ar I    |   6888.988 |       | 7  | 1.3e-03   | D+   
Ar I    |   6890.075 |    10 | 5  | 2.5e-03   | D+   
        |            |       |    |           |      
Ar XI   |   6919     |       | 3  | 6.65e-07  | B    
Ar XI   |   6919     |       | 3  | 3.9e-12   | D    
Ar I    |   6926.920 |       | 3  | 1.2e-03   | D+   
Ar I    |   6939.578 |    50 | 1  | 3.08e-02  | C    
Ar I    |   6953.395 |     7 | 5  | 2.2e-03   | D    
        |            |       |    |           |      
Ar I    |   6962.170 |     7 | 5  | 2.4e-03   | D    
Ar I    |   6967.351 | 10000 | 3  | 6.39e-02  | C    
Ar II   |   6992.040 |       | 6  | 2e-03     | C+   
Ar I    |   6994.141 |       | 1  | 7.5e-03   | D+   
Ar V    |   7007.66  |       | 5  | 5.2e-09   | C    
        |            |       |    |           |      
Ar V    |   7007.66  |       | 5  | 1.6e-11   | D    
Ar I    |   7032.189 |   150 | 5  | 2.67e-02  | C    
Ar I    |   7069.166 | 10000 | 5  | 3.80e-02  | C    
Ar I    |   7070.684 |   100 | 3  | 2.0e-02   | D+   
Ar II   |   7078.975 |       | 8  | 1e-03     | C+   
        |            |       |    |           |      
Ar I    |   7088.659 |       | 3  | 1.5e-03   | D+   
Ar I    |   7109.437 |    25 | 5  | 4.5e-03   | D+   
Ar II   |   7123.700 |       | 2  | 5e-03     | E    
Ar I    |   7127.784 |    25 | 3  | 6.0e-03   | D+   
Ar III  |   7137.757 |       | 5  | 3.21e-10  | C    
        |            |       |    |           |      
Ar III  |   7137.757 |       | 5  | 1.4e-11   | D    
Ar I    |   7149.011 |  1000 | 3  | 6.25e-03  | C    
Ar I    |   7160.812 |    15 | 1  | 2.1e-02   | D+   
Ar I    |   7164.531 |       | 3  | 5.8e-04   | D    
Ar IV   |   7172.47  |       | 4  | 8.1e-09   | C    
        |            |       |    |           |      
Ar IV   |   7172.47  |       | 4  | 9.8e-10   | C    
Ar I    |   7208.967 |    70 | 3  | 2.48e-02  | C    
Ar I    |   7231.93  |       | 5  | 6.6e-04   | D    
Ar II   |   7235.529 |       | 4  | 3.7e-02   | C+   
Ar IV   |   7239.40  |       | 4  | 4.44e-09  | C    
        |            |       |    |           |      
Ar IV   |   7239.40  |       | 4  | 2.26e-09  | C    
Ar IV   |   7264.75  |       | 2  | 4.88e-09  | C    
Ar IV   |   7264.75  |       | 2  | 1.90e-09  | C    
Ar I    |   7267.174 |    15 | 3  | 1.7e-03   | D    
Ar I    |   7272.667 |     7 | 7  | 1.1e-03   | D    
        |            |       |    |           |      
Ar I    |   7274.939 |  2000 | 3  | 1.83e-02  | C    
Ar I    |   7287.451 |       | 3  | 1.2e-03   | D    
Ar I    |   7313.731 |    35 | 3  | 1.7e-02   | D+   
Ar I    |   7318.021 |    25 | 3  | 9.6e-03   | D+   
Ar IV   |   7333.4   |       | 2  | 1.22e-09  | C    
        |            |       |    |           |      
Ar I    |   7352.839 |     5 | 1  | 1.2e-02   | D+   
Ar I    |   7355.201 |       | 5  | 2.1e-03   | E    
Ar I    |   7355.319 |    70 | 7  | 9.6e-03   | D+   
Ar II   |   7360.372 |       | 2  | 2e-03     | C    
Ar I    |   7374.148 |   200 | 9  | 1.9e-02   | D+   
        |            |       |    |           |      
Ar II   |   7382.456 |    20 | 4  | 5.6e-02   | C+   
Ar I    |   7386.014 | 10000 | 5  | 8.47e-02  | C    
Ar I    |   7395.016 |    20 | 3  | 7.2e-03   | D+   
Ar I    |   7414.378 |    15 | 5  | 3.9e-03   | D+   
Ar I    |   7424.356 |       | 5  | 6.6e-04   | D    
        |            |       |    |           |      
Ar I    |   7427.339 |    10 | 7  | 3.1e-03   | D    
Ar I    |   7437.416 |    25 | 5  | 9.0e-03   | D+   
Ar I    |   7438.345 |    10 | 5  | 2.7e-03   | D    
Ar I    |   7473.221 |       | 3  | 2.2e-04   | C-   
Ar I    |   7486.39  |       | 5  | 3.4e-03   | D+   
        |            |       |    |           |      
Ar I    |   7505.934 | 20000 | 1  | 4.45e-01  | C    
Ar I    |   7512.476 |       | 5  | 4.5e-03   | D    
Ar I    |   7516.720 | 15000 | 1  | 4.02e-01  | C    
Ar II   |   7591.404 |       | 4  | 1.07e-01  | B-   
Ar I    |   7620.441 |       | 5  | 2.9e-03   | D    
        |            |       |    |           |      
Ar I    |   7630.982 |       | 5  | 2.9e-03   | D    
Ar I    |   7637.207 | 25000 | 5  | 2.45e-01  | C    
Ar I    |   7672.168 |       | 3  | 2.8e-03   | D    
Ar I    |   7706.94  |       | 7  | 6.3e-04   | D    
Ar I    |   7725.886 | 15000 | 3  | 5.18e-02  | C    
        |            |       |    |           |      
Ar I    |   7726.332 | 10000 | 3  | 1.17e-01  | C    
Ar III  |   7753.243 |       | 5  | 8.3e-10   | C    
Ar III  |   7753.243 |       | 5  | 1.3e-12   | D    
Ar I    |   7800.707 |       | 5  | 8.7e-04   | D+   
Ar I    |   7870.359 |       | 3  | 3.50e-03  | C    
        |            |       |    |           |      
Ar I    |   7893.246 |    10 | 5  | 9.5e-03   | C    
Ar I    |   7918.619 |       | 3  | 1.2e-03   | D+   
Ar I    |   7950.362 | 20000 | 3  | 1.86e-01  | C    
Ar I    |   7967.256 |       | 5  | 3.4e-04   | E    
Ar I    |   8008.358 | 20000 | 5  | 4.90e-02  | C    
        |            |       |    |           |      
Ar I    |   8016.990 | 25000 | 5  | 9.28e-02  | C    
Ar I    |   8018.942 |       | 3  | 4.2e-05   | E    
Ar II   |   8019.733 |       | 2  | 9e-03     | C    
Ar III  |   8038.731 |       | 5  | 2.9e-13   | D    
Ar I    |   8039.429 |       | 3  | 3.59e-03  | C    
        |            |       |    |           |      
Ar I    |   8048.330 |       | 1  | 1.12e-02  | C    
Ar I    |   8055.523 |     7 | 3  | 8.6e-03   | C    
Ar I    |   8068.823 |       | 5  | 1.4e-03   | D+   
Ar I    |   8105.920 | 20000 | 3  | 2.5e-01   | C    
Ar I    |   8117.542 | 35000 | 7  | 3.31e-01  | C    
        |            |       |    |           |      
Ar I    |   8154.109 |       | 3  | 3.3e-04   | E    
Ar I    |   8205.690 |       | 5  | 1.6e-03   | E    
Ar I    |   8266.793 | 10000 | 3  | 1.53e-01  | C    
Ar I    |   8387.03  |       | 7  | 2.4e-03   | D    
Ar I    |   8394.58  |    20 | _  |           |      
        |            |       |    |           |      
Ar I    |   8410.519 | 15000 | 5  | 2.23e-01  | C    
Ar I    |   8426.962 | 20000 | 5  | 2.15e-01  | C    
Ar I    |   8492.639 |       | 5  | 9.6e-04   | D    
Ar I    |   8523.782 | 15000 | 3  | 1.39e-01  | C    
Ar I    |   8608.140 |     7 | 5  | 1.04e-02  | C    
        |            |       |    |           |      
Ar I    |   8622.828 |       | 3  | 9.2e-03   | C    
Ar I    |   8670.324 |  4500 | 3  | 2.43e-02  | C    
Ar I    |   8764.093 |       | 5  | 9.5e-03   | D+   
Ar II   |   8774.269 |    20 | _  |           |      
Ar I    |   8786.969 |       | 1  | 2.4e-03   | D    
        |            |       |    |           |      
Ar I    |   8801.504 |       | 3  | 4.6e-03   | D+   
Ar I    |   8852.34  |   180 | _  |           |      
Ar II   |   8928.526 |       | 2  | 6e-03     | C+   
Ar I    |   8964.607 |       | 3  | 1.6e-03   | D+   
Ar I    |   9059.979 |       | 3  | 9.7e-04   | E    
        |            |       |    |           |      
Ar I    |   9077.886 |    20 | 1  | 1.2e-02   | D    
Ar I    |   9125.471 | 35000 | 3  | 1.89e-01  | C    
Ar II   |   9153.322 |       | 2  | 4.5e-03   | E    
Ar I    |   9197.161 |   550 | 3  | 1.76e-02  | C    
Ar I    |   9227.029 | 15000 | 5  | 5.03e-02  | C    
        |            |       |    |           |      
Ar I    |   9294.081 |   400 | 1  | 3.26e-02  | C    
Ar I    |   9356.785 |  1600 | 3  | 1.06e-02  | C    
Ar II   |   9421.169 |       | 2  | 3.9e-03   | E    
Ar I    |   9660.435 | 25000 | 3  | 5.43e-02  | C    
Ar I    |   9787.185 |  4500 | 5  | 1.47e-02  | C    
        |            |       |    |           |      
Ar I    |  10054.82  |   180 | _  |           |      
Ar XIII |  10143     |       | 3  | 1.79e-07  | B-   
Ar I    |  10335.55  |    30 | _  |           |      
Ar II   |  10470.045 |   100 | _  |           |      
Ar I    |  10472.922 |  1600 | 3  | 9.8e-03   | C    
        |            |       |    |           |      
Ar I    |  10480.905 |    13 | 3  | 2.44e-02  | C    
Ar I    |  10508.997 |       | 5  | 1.58e-02  | C    
Ar I    |  10509.379 |   180 | 7  | 1.58e-02  | C    
Ar I    |  10676.490 |   200 | 5  | 4.9e-02   | D-   
Ar I    |  10684.699 |    11 | _  |           |      
        |            |       |    |           |      
Ar II   |  10685.961 |     7 | _  |           |      
Ar I    |  10686.331 |       | 3  | 2.1e-03   | E    
Ar I    |  10736.81  |    30 | _  |           |      
Ar I    |  10762.11  |    30 | _  |           |      
Ar II   |  10815.858 |     7 | _  |           |      
        |            |       |    |           |      
Ar I    |  10953.725 |       | 3  | 3.96e-03  | C    
-------------------------------------------------------
