-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ar II   |   3521.000 |       | 6  | 5.2e-01   | B    
Ar II   |   3522.267 |       | 8  | 2.27e-01  | B    
        |            |       |    |           |      
Ar II   |   3536.330 |       | 4  | 5.7e-01   | B-   
Ar II   |   3546.608 |    70 | 6  | 3.4e+00   | D    
Ar II   |   3546.856 |    70 | 8  | 3.9e+00   | D    
Ar II   |   3549.528 |       | 4  | 8.7e-01   | B    
Ar II   |   3551.043 |       | 6  | 2.6e-02   | C    
        |            |       |    |           |      
Ar I    |   3555.321 |     7 | 5  | 2.7e-03   | D    
Ar II   |   3557.920 |       | 2  | 5.0e-02   | B-   
Ar II   |   3560.525 |   100 | 8  | 2.88e+00  | B    
Ar II   |   3562.047 |   100 | 10 | 4e+00     | D    
Ar II   |   3563.208 |       | 8  | 1.5e-01   | D    
        |            |       |    |           |      
Ar I    |   3564.304 |       | 3  | 1.2e-03   | D    
Ar II   |   3566.047 |       | 4  | 5.5e-01   | C    
Ar I    |   3568.675 |       | 7  | 1.1e-03   | D    
Ar I    |   3573.315 |       | 1  | 5.1e-03   | D    
Ar II   |   3577.636 |    70 | 8  | 2.75e+00  | B    
        |            |       |    |           |      
Ar II   |   3582.630 |    25 | 4  | 1.76e+00  | B    
Ar II   |   3583.377 |    50 | 6  | 2.53e+00  | B    
Ar II   |   3589.464 |    70 | 10 | 3.03e+00  | B    
Ar II   |   3602.536 |       | 4  | 2e-03     | C    
Ar II   |   3604.484 |       | 2  | 6.5e-02   | D    
        |            |       |    |           |      
Ar II   |   3606.907 |       | 6  | 4.4e-02   | B-   
Ar I    |   3607.550 |     7 | 1  | 7.6e-03   | D    
Ar II   |   3612.843 |       | 4  | 6e-03     | C    
Ar II   |   3623.170 |    25 | 2  | 6.4e-01   | D    
Ar I    |   3633.718 |       | 5  | 6.6e-04   | D    
        |            |       |    |           |      
Ar I    |   3635.496 |       | 3  | 1.3e-03   | D    
Ar II   |   3635.848 |       | 4  | 9e-03     | C    
Ar II   |   3640.870 |    20 | 6  | 1.4e+00   | D    
Ar I    |   3644.155 |       | 5  | 2.4e-04   | D    
Ar I    |   3650.872 |       | 1  | 8.0e-03   | D    
        |            |       |    |           |      
Ar II   |   3651.930 |       | 4  | 1.2e-01   | D-   
Ar II   |   3656.319 |       | 6  | 2.3e-01   | D-   
Ar II   |   3657.091 |       | 6  | 7.6e-02   | B-   
Ar I    |   3660.572 |       | 3  | 4.4e-04   | D    
Ar II   |   3661.479 |       | 4  | 2.2e+00   | D    
        |            |       |    |           |      
Ar II   |   3670.647 |       | 2  | 1.3e-01   | D    
Ar I    |   3671.715 |       | 5  | 3.1e-04   | D    
Ar II   |   3672.050 |       | 2  | 7.1e-01   | D    
Ar I    |   3676.282 |       | 3  | 4.9e-04   | D    
Ar II   |   3679.317 |       | 4  | 2.5e-01   | D    
        |            |       |    |           |      
Ar II   |   3681.108 |       | 4  | 1.2e+00   | D    
Ar II   |   3683.593 |       | 2  | 1.7e-02   | B-   
Ar II   |   3707.984 |       | 2  | 2e-03     | C    
Ar II   |   3710.964 |       | 4  | 4.7e-02   | B-   
Ar II   |   3715.790 |       | 4  | 2e-03     | D    
        |            |       |    |           |      
Ar II   |   3718.228 |       | 8  | 5.2e-02   | B    
Ar II   |   3719.264 |    35 | 6  | 2e+00     | D    
Ar II   |   3721.484 |       | 4  | 1.7e-01   | D    
Ar II   |   3725.575 |       | 6  | 3.4e-01   | D    
Ar II   |   3730.369 |    70 | 4  | 4.80e-01  | B    
        |            |       |    |           |      
Ar II   |   3736.550 |       | 4  | 3e-03     | C+   
Ar II   |   3738.952 |    50 | 8  | 2.3e+00   | D    
Ar II   |   3747.978 |       | 6  | 2.1e-02   | B-   
Ar II   |   3751.546 |       | 4  | 1e-03     | D    
Ar II   |   3764.574 |       | 6  | 1.78e-01  | B    
        |            |       |    |           |      
Ar II   |   3766.340 |   150 | 6  | 9.8e-01   | D    
Ar II   |   3767.188 |    50 | 4  | 7.4e-02   | B-   
Ar I    |   3771.440 |    20 | 3  | 7.0e-04   | D    
Ar II   |   3771.591 |    20 | 4  | 4.1e-01   | D    
Ar II   |   3778.604 |       | 2  | 1.1e-02   | D    
        |            |       |    |           |      
Ar II   |   3781.913 |    25 | 8  | 7.7e-01   | B    
Ar II   |   3787.457 |       | 6  | 1.5e-02   | B-   
Ar III  |   3796.45  |    20 | _  |           |      
Ar II   |   3797.671 |       | 6  | 2.5e-01   | D    
Ar II   |   3800.461 |       | 4  | 1.7e-01   | C    
        |            |       |    |           |      
Ar II   |   3804.252 |    25 | 6  | 1.5e+00   | D    
Ar II   |   3809.656 |       | 6  | 1.0e-02   | C    
Ar II   |   3810.537 |    50 | 6  | 4.4e-01   | D    
Ar II   |   3820.099 |       | 4  | 3.6e-03   | D    
Ar II   |   3826.758 |       | 4  | 7.6e-01   | D    
        |            |       |    |           |      
Ar II   |   3827.893 |       | 6  | 2.81e-01  | B    
Ar II   |   3831.481 |       | 6  | 4e-03     | D-   
Ar I    |   3835.766 |     7 | 1  | 7.5e-03   | D    
Ar II   |   3842.608 |       | 2  | 2.69e-01  | B-   
Ar II   |   3845.653 |       | 2  | 3e-03     | E    
        |            |       |    |           |      
Ar II   |   3845.821 |       | 8  | 4.8e-02   | B-   
Ar II   |   3846.496 |       | 4  | 1.6e-02   | C    
Ar II   |   3851.673 |    70 | 4  | 3.87e-01  | B    
Ar II   |   3856.253 |       | 2  | 1.5e-02   | D-   
Ar III  |   3859.41  |    10 | _  |           |      
        |            |       |    |           |      
Ar II   |   3869.625 |    35 | 6  | 1.4e+00   | C    
Ar II   |   3870.717 |       | 6  | 6e-03     | C    
Ar II   |   3873.235 |       | 4  | 1.5e-01   | C    
Ar II   |   3876.363 |       | 2  | 8.2e-02   | B-   
Ar II   |   3881.433 |       | 2  | 2.32e-01  | B-   
        |            |       |    |           |      
Ar II   |   3892.504 |       | 2  | 4.3e-02   | B-   
Ar II   |   3893.081 |       | 4  | 6.3e-02   | C    
Ar I    |   3895.764 |       | 3  | 5.7e-04   | D    
Ar II   |   3901.731 |       | 6  | 7.2e-02   | B    
Ar III  |   3908.95  |     7 | _  |           |      
        |            |       |    |           |      
Ar II   |   3912.684 |       | 4  | 7.7e-02   | C+   
Ar II   |   3915.876 |       | 4  | 3.7e-02   | B    
Ar II   |   3918.876 |       | 6  | 1e-03     | C    
Ar II   |   3923.469 |       | 2  | 3e-03     | C    
Ar II   |   3926.830 |    35 | 4  | 1.4e+00   | D    
        |            |       |    |           |      
Ar II   |   3929.735 |    50 | 4  | 2.44e-01  | B-   
Ar II   |   3932.348 |       | 4  | 2.0e-02   | B    
Ar II   |   3933.660 |    25 | 4  | 9.3e-01   | C    
Ar II   |   3945.388 |       | 6  | 4.1e-02   | B    
Ar II   |   3947.214 |    70 | 6  | 1.4e+00   | D    
        |            |       |    |           |      
Ar I    |   3948.622 |     7 | 5  | 5.6e-04   | C    
Ar I    |   3950.096 |    35 | 3  | 4.55e-03  | C    
Ar II   |   3953.848 |       | 4  | 2.08e-01  | B-   
Ar II   |   3959.500 |       | 4  | 3.8e-02   | B-   
Ar III  |   3961.65  |     8 | _  |           |      
        |            |       |    |           |      
Ar II   |   3969.482 |       | 6  | 4.8e-02   | B    
Ar II   |   3975.601 |       | 4  | 2.0e-02   | D    
Ar II   |   3975.883 |       | 4  | 9e-03     | D    
Ar II   |   3980.481 |    20 | 2  | 9.8e-01   | C-   
Ar II   |   3989.285 |       | 6  | 4.1e-02   | B    
        |            |       |    |           |      
Ar II   |   3993.182 |       | 6  | 1.6e-02   | B-   
Ar II   |   3995.921 |    35 | 2  | 1.6e+00   | E    
Ar II   |   4002.269 |       | 4  | 6e-03     | C    
Ar II   |   4012.343 |       | 4  | 3.1e-02   | D-   
Ar II   |   4014.991 |    50 | 8  | 1.05e-01  | A-   
        |            |       |    |           |      
Ar III  |   4024.74  |     6 | _  |           |      
Ar II   |   4032.517 |       | 2  | 7.5e-02   | B-   
Ar II   |   4034.949 |    50 | 2  | 9.8e-01   | D    
Ar II   |   4036.600 |    20 | 6  | 4.4e-02   | B    
Ar II   |   4039.945 |       | 8  | 1.2e-02   | B    
        |            |       |    |           |      
Ar II   |   4043.323 |       | 6  | 4e-03     | C    
Ar II   |   4044.036 |   150 | 4  | 4.06e-01  | B    
Ar I    |   4045.561 |    50 | 5  | 3.33e-03  | C    
Ar II   |   4046.819 |       | 4  | 1.6e-02   | C    
Ar I    |   4047.108 |       | 3  | 4.1e-04   | C    
        |            |       |    |           |      
Ar II   |   4054.065 |   100 | 4  | 6.7e-01   | E    
Ar I    |   4055.671 |       | 3  | 2.7e-04   | C-   
Ar II   |   4058.821 |       | 4  | 2e-04     | E    
Ar II   |   4061.650 |       | 2  | 3.2e-05   | E    
Ar II   |   4066.259 |       | 4  | 1.1e-02   | C    
        |            |       |    |           |      
