------------------------------------------------
Spec.  | Wavelength |   Rel. | gk | Aki       
       |   Vacuum   |   Int. |    | (10^8s-1) 
       |    (A)     |        |    |           
------------------------------------------------
Kr II  |   5334.89  |    500 | _  |           
Kr II  |   5469.69  |    200 | _  |           
Kr III |   5502.96  |     10 | _  |           
Kr I   |   5563.769 |    500 | 5  | 2.8e-03   
       |            |        |    |           
Kr I   |   5571.835 |   2000 | 3  | 2.1e-02   
Kr I   |   5581.935 |     80 | _  |           
Kr I   |   5651.129 |    100 | 3  | 3.7e-03   
Kr II  |   5683.47  |    400 | _  |           
Kr II  |   5691.93  |   200w | _  |           
       |            |        |    |           
Kr I   |   5834.472 |    100 | _  |           
Kr I   |   5872.541 |   3000 | 5  | 1.8e-02   
Kr II  |   5993.88  |    200 | _  |           
Kr I   |   5995.509 |     60 | _  |           
Kr III |   6038.84  |    10w | _  |           
       |            |        |    |           
Kr I   |   6057.802 |     60 | _  |           
Kr III |   6080.06  |    10w | _  |           
Kr III |   6311.97  |     10 | _  |           
Kr II  |   6421.95  |    300 | _  |           
Kr I   |   6422.801 |    100 | _  |           
       |            |        |    |           
Kr I   |   6458.072 |    200 | _  |           
Kr II  |   6571.88  |    150 | _  |           
Kr I   |   6701.078 |     60 | _  |           
Kr I   |   6906.583 |    100 | 5  | 1.3e-02   
Kr II  |   7215.12  |    250 | _  |           
       |            |        |    |           
Kr I   |   7226.095 |    100 | 5  | 1.4e-02   
Kr I   |   7289.266 |     80 | _  |           
Kr II  |   7291.79  |    400 | _  |           
Kr II  |   7409.06  |    400 | 6  | 7.0e-02   
Kr I   |   7427.586 |     60 | _  |           
       |            |        |    |           
Kr II  |   7437.83  |    200 | _  |           
Kr I   |   7488.924 |    100 | _  |           
Kr II  |   7526.53  |    300 | _  |           
Kr I   |   7589.500 |   1000 | 1  | 5.1e-01   
Kr I   |   7603.637 |   2000 | 5  | 3.1e-01   
       |            |        |    |           
Kr II  |   7643.26  |    150 | _  |           
Kr I   |   7687.359 |   1000 | 1  | 4.9e-01   
Kr I   |   7696.656 |   1200 | 3  | 5.6e-02   
Kr II  |   7737.82  |    250 | _  |           
Kr I   |   7748.959 |    150 | _  |           
       |            |        |    |           
Kr I   |   7856.982 |    800 | 3  | 2.3e-01   
Kr I   |   7915.600 |    200 | _  |           
Kr I   |   7930.778 |    180 | _  |           
Kr II  |   7935.40  |    200 | _  |           
Kr II  |   7975.81  |    120 | _  |           
       |            |        |    |           
Kr I   |   7984.597 |    100 | _  |           
Kr I   |   8061.719 |   1500 | 3  | 1.9e-01   
Kr I   |   8106.592 |   4000 | 5  | 1.3e-01   
Kr I   |   8115.130 |   6000 | 7  | 3.6e-01   
