-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
        |            |       |    |           |      
Ne II   |  4410.54   |   150 | _  |           |      
Ne I    |  4410.8394 |   20* | 7  |           |      
Ne I    |  4410.8547 |   20* | 5  |           |      
Ne I    |  4410.879  |    20 | 5  |           |      
Ne I    |  4413.523  |    20 | 3  |           |      
        |            |       |    |           |      
Ne II   |  4414.348  |   100 | 6  | 2.0e+00   | D    
Ne I    |  4414.7963 |    15 | 5  |           |      
Ne I    |  4416.380  |     5 | 3  |           |      
Ne I    |  4418.0540 |    50 | 7  |           |      
Ne I    |  4421.8306 |     1 | 5  |           |      
        |            |       |    |           |      
Ne II   |  4422.63   |   100 | _  |           |      
Ne I    |  4422.7902 |    50 | 3  |           |      
Ne I    |  4423.7624 |   300 | 5  |           |      
Ne I    |  4426.0521 |   300 | 3  |           |      
Ne I    |  4426.6426 |   150 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4428.961  |    30 | 3  |           |      
Ne I    |  4429.210  |   15* | 5  |           |      
Ne I    |  4429.216  |   15* | 5  |           |      
Ne II   |  4429.765  |  100p | 6  | 3.3e-01   | D    
Ne II   |  4429.87   |  100p | _  |           |      
        |            |       |    |           |      
Ne I    |  4430.647  |    1* | 5  |           |      
Ne I    |  4430.657  |    1* | 5  |           |      
Ne II   |  4432.14   |  150p | _  |           |      
Ne II   |  4432.353  |  150p | 4  | 2.1e-01   | D    
Ne I    |  4433.7587 |   20* | 7  |           |      
        |            |       |    |           |      
Ne I    |  4433.7890 |   20* | 5  |           |      
Ne I    |  4434.641  |    10 | 5  |           |      
Ne I    |  4434.9659 |    70 | 9  |           |      
Ne I    |  4436.335  |     5 | 3  |           |      
Ne I    |  4441.606  |   15* | 7  |           |      
        |            |       |    |           |      
Ne I    |  4441.614  |   15* | 5  |           |      
Ne I    |  4442.068  |     2 | 5  |           |      
Ne I    |  4442.202  |     1 | 7  |           |      
Ne II   |  4442.334  |       | 2  | 3.4e-03   | D    
Ne II   |  4443.933  |       | 8  | 3.5e-02   | D    
        |            |       |    |           |      
Ne I    |  4446.223  |   30* | 7  |           |      
Ne I    |  4446.224  |   30* | 5  |           |      
Ne I    |  4446.230  |   30* | 5  |           |      
Ne I    |  4446.951  |     1 | 3  |           |      
Ne I    |  4447.776  |     1 | 1  |           |      
        |            |       |    |           |      
Ne II   |  4447.896  |       | 4  | 5.2e-02   | D    
Ne I    |  4454.236  |    15 | 5  |           |      
Ne I    |  4454.494  |     5 | 3  |           |      
Ne I    |  4454.599  |     2 | 3  |           |      
Ne I    |  4454.780  |     1 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4455.544  |     5 | 5  |           |      
Ne I    |  4456.8208 |    15 | 3  |           |      
Ne I    |  4457.651  |     1 | 3  |           |      
Ne II   |  4458.30   |   120 | _  |           |      
Ne I    |  4461.4268 |   100 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4464.102  |     2 | 3  |           |      
Ne I    |  4466.8993 |    50 | 5  |           |      
Ne I    |  4467.299  |     5 | 3  |           |      
Ne I    |  4467.764  |     2 | 5  |           |      
Ne I    |  4468.0605 |    70 | 7  |           |      
        |            |       |    |           |      
Ne I    |  4468.743  |     1 | 3  |           |      
Ne I    |  4472.218  |     5 | 3  |           |      
Ne I    |  4473.485  |    1* | 5  |           |      
Ne I    |  4473.5262 |    1* | 5  |           |      
Ne I    |  4476.386  |     5 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4476.9098 |   100 | 5  |           |      
Ne I    |  4482.084  |   15* | 5  |           |      
Ne I    |  4482.090  |   15* | 5  |           |      
Ne I    |  4484.4537 |   150 | 3  |           |      
Ne I    |  4489.3525 |   300 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4493.0302 |    80 | 3  |           |      
Ne I    |  4493.096  |   50* | 7  |           |      
Ne I    |  4493.116  |   50* | 5  |           |      
Ne I    |  4493.379  |     5 | 3  |           |      
Ne I    |  4493.669  |    30 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4493.9333 |    15 | 7  |           |      
Ne I    |  4494.374  |     5 | 3  |           |      
Ne I    |  4494.9528 |    50 | 5  |           |      
Ne II   |  4497.507  |       | 10 | 2.1e-02   | D    
Ne I    |  4500.252  |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4501.084  |    5* | 3  |           |      
Ne I    |  4501.097  |    5* | 1  |           |      
Ne I    |  4501.4443 |   50* | 5  |           |      
Ne I    |  4501.469  |   50* | 5  |           |      
Ne I    |  4511.414  |    15 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4512.7450 |   20* | 5  |           |      
Ne I    |  4512.761  |   20* | 3  |           |      
Ne I    |  4516.1489 |    70 | 7  |           |      
Ne I    |  4516.300  |     2 | 5  |           |      
Ne I    |  4516.6817 |    30 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4518.194  |    50 | 1  |           |      
Ne I    |  4519.0030 |  100* | 7  |           |      
Ne I    |  4519.0191 |  100* | 5  |           |      
Ne II   |  4523.99   |   100 | _  |           |      
Ne I    |  4527.0331 |     7 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4527.444  |    50 | 3  |           |      
Ne I    |  4527.922  |   15* | 5  |           |      
Ne I    |  4527.985  |   15* | 3  |           |      
Ne I    |  4528.982  |    15 | 1  |           |      
Ne I    |  4529.240  |     1 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4530.720  |    30 | 3  |           |      
Ne I    |  4533.669  |     1 | 3  |           |      
Ne I    |  4537.5727 |   150 | 3  | 5.0e-03   | D    
Ne I    |  4538.9496 |   300 | 5  |           |      
Ne I    |  4539.0237 |  1000 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4539.5744 |   300 | 7  |           |      
Ne I    |  4540.4374 |    50 | 5  |           |      
Ne I    |  4541.6509 |    50 | 9  |           |      
Ne I    |  4545.768  |    50 | 3  |           |      
Ne I    |  4547.013  |     1 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4548.4721 |   10* | 7  |           |      
Ne I    |  4548.5321 |   10* | 5  |           |      
Ne I    |  4548.9850 |    15 | 5  |           |      
Ne I    |  4551.928  |     1 | 7  |           |      
Ne I    |  4553.8743 |    30 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4555.699  |    10 | 3  |           |      
Ne I    |  4555.8494 |     5 | 5  |           |      
Ne I    |  4556.094  |    40 | 5  |           |      
Ne I    |  4556.6642 |    30 | 3  |           |      
Ne I    |  4557.977  |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4567.1677 |    60 | 7  |           |      
Ne I    |  4568.104  |    40 | 5  |           |      
Ne I    |  4568.4138 |    15 | 7  |           |      
Ne I    |  4569.127  |    10 | 3  |           |      
Ne II   |  4570.34   |   100 | _  |           |      
        |            |       |    |           |      
Ne I    |  4574.3418 |     5 | 5  |           |      
Ne I    |  4574.8370 |    50 | 3  |           |      
Ne I    |  4576.3429 |   300 | 7  |           |      
Ne I    |  4577.141  |    20 | 3  |           |      
Ne I    |  4583.3242 |   150 | 7  |           |      
        |            |       |    |           |      
Ne I    |  4583.3851 |    15 | 5  |           |      
Ne I    |  4583.7348 |   150 | 5  |           |      
Ne I    |  4583.8450 |    15 | 5  |           |      
Ne I    |  4584.280  |     5 | 1  |           |      
Ne I    |  4587.152  |    10 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4587.426  |     2 | 3  |           |      
Ne I    |  4594.5209 |    50 | 3  |           |      
Ne I    |  4596.5315 |    50 | 5  |           |      
Ne I    |  4605.383  |   15* | 7  |           |      
Ne I    |  4605.404  |   15* | 5  |           |      
        |            |       |    |           |      
Ne I    |  4605.985  |     1 | 5  |           |      
Ne I    |  4606.226  |     5 | 3  |           |      
Ne I    |  4610.647  |    30 | 3  |           |      
Ne I    |  4611.2027 |   150 | 5  |           |      
Ne I    |  4615.6835 |   100 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4618.213  |     5 | 3  |           |      
Ne I    |  4619.1315 |    70 | 5  |           |      
Ne I    |  4629.087  |     2 | 3  |           |      
Ne I    |  4629.6054 |   150 | 7  |           |      
Ne I    |  4629.764  |    30 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4637.4235 |    70 | 5  |           |      
Ne I    |  4637.9324 |    70 | 3  |           |      
Ne I    |  4638.2706 |    50 | 5  |           |      
Ne I    |  4640.891  |    30 | 1  |           |      
Ne I    |  4641.748  |    70 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4644.480  |     5 | 5  |           |      
Ne I    |  4645.233  |     2 | 3  |           |      
Ne I    |  4646.130  |    40 | 3  |           |      
Ne I    |  4646.7182 |   300 | 5  |           |      
Ne I    |  4647.1909 |     1 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4651.2070 |    70 | 3  |           |      
Ne I    |  4653.4076 |    30 | 3  |           |      
Ne I    |  4655.013  |    50 | 1  |           |      
Ne I    |  4657.6965 |   300 | 3  |           |      
Ne I    |  4662.4100 |   150 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4664.3960 |    40 | 5  |           |      
Ne I    |  4664.832  |    20 | 3  |           |      
Ne I    |  4667.970  |    50 | 3  |           |      
Ne I    |  4668.659  |   100 | 5  |           |      
Ne I    |  4672.1915 |    70 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4679.5277 |   300 | 7  |           |      
Ne I    |  4679.9186 |    50 | 3  |           |      
Ne I    |  4680.4448 |   150 | 5  |           |      
Ne I    |  4681.6765 |   100 | 7  |           |      
Ne I    |  4682.512  |    50 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4683.2351 |   20* | 7  |           |      
Ne I    |  4683.2689 |   20* | 5  |           |      
Ne I    |  4683.4633 |    20 | 5  |           |      
Ne I    |  4684.220  |    10 | 5  |           |      
Ne I    |  4684.5453 |     5 | 7  |           |      
        |            |       |    |           |      
Ne I    |  4685.0895 |    30 | 3  |           |      
Ne I    |  4688.9831 |   100 | 7  |           |      
Ne I    |  4689.5282 |     2 | 5  |           |      
Ne I    |  4692.8959 |    15 | 3  |           |      
Ne I    |  4696.670  |    20 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4698.266  |     5 | 3  |           |      
Ne I    |  4701.7939 |     5 | 5  |           |      
Ne I    |  4703.8458 |   150 | 3  | 2.1e-03   | D    
Ne I    |  4705.7114 |  1500 | 5  |           |      
Ne I    |  4710.1769 |  1200 | 3  | 4.2e-02   | D    
        |            |       |    |           |      
Ne I    |  4711.3848 |  1000 | 1  |           |      
Ne I    |  4711.8053 |    30 | 3  |           |      
Ne I    |  4713.3825 |  1500 | 7  |           |      
Ne I    |  4713.451  |   15* | 1  |           |      
Ne I    |  4713.4647 |   15* | 5  |           |      
        |            |       |    |           |      
Ne I    |  4714.1153 |    10 | 5  |           |      
Ne IV   |  4715.49   |       | 4  | 2.10e-09  | C    
Ne IV   |  4715.49   |       | 4  | 1.91e-09  | C    
Ne I    |  4715.6599 |    70 | 5  |           |      
Ne I    |  4716.4417 |    90 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4716.5742 |    30 | 7  |           |      
Ne I    |  4716.6646 |  1500 | 9  |           |      
Ne IV   |  4716.98   |       | 2  | 1.10e-09  | C    
Ne I    |  4718.923  |    70 | 1  |           |      
Ne I    |  4722.8571 |    70 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4723.519  |     5 | 3  |           |      
Ne I    |  4724.039  |    15 | 5  |           |      
Ne I    |  4725.1196 |   70* | 3  |           |      
Ne I    |  4725.133  |   70* | 3  |           |      
Ne I    |  4725.474  |     5 | 1  |           |      
        |            |       |    |           |      
Ne IV   |  4725.50   |       | 4  | 3.58e-09  | C    
Ne IV   |  4725.50   |       | 4  | 7.9e-10   | C    
Ne I    |  4726.4671 |    70 | 5  |           |      
Ne IV   |  4726.99   |       | 2  | 2.29e-09  | C    
Ne IV   |  4726.99   |       | 2  | 1.60e-09  | C    
        |            |       |    |           |      
Ne I    |  4750.9016 |   300 | 5  |           |      
Ne I    |  4752.0094 |    30 | 3  |           |      
Ne I    |  4753.1317 |    30 | 5  |           |      
Ne I    |  4754.0607 |   500 | 7  |           |      
Ne I    |  4754.4463 |     1 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4755.768  |   100 | 3  |           |      
Ne I    |  4760.0561 |   150 | 3  |           |      
Ne I    |  4781.6740 |   300 | 5  |           |      
Ne I    |  4782.2150 |    30 | 3  |           |      
Ne I    |  4782.5745 |     2 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4785.360  |     2 | 1  |           |      
Ne I    |  4790.2643 |  1000 | 5  |           |      
Ne I    |  4790.931  |   100 | 3  |           |      
Ne I    |  4791.5565 |   500 | 5  |           |      
Ne I    |  4792.0591 |    30 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4801.4525 |    15 | 7  |           |      
Ne I    |  4802.4179 |     2 | 5  |           |      
Ne I    |  4803.7147 |    10 | 7  |           |      
Ne I    |  4804.594  |     1 | 3  |           |      
Ne I    |  4810.844  |    10 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4811.4075 |   150 | 7  |           |      
Ne I    |  4811.9814 |   100 | 5  |           |      
Ne I    |  4815.6814 |    50 | 3  |           |      
Ne I    |  4818.235  |     1 | 3  |           |      
Ne I    |  4818.9831 |   300 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4820.1229 |   150 | 3  |           |      
Ne I    |  4821.2777 |    70 | 5  |           |      
Ne I    |  4823.2686 |   300 | 3  |           |      
Ne I    |  4824.520  |   100 | 3  |           |      
Ne I    |  4824.6990 |    50 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4826.8668 |    50 | 3  |           |      
Ne I    |  4828.6871 |  1000 | 3  |           |      
Ne I    |  4828.9360 |   300 | 5  |           |      
Ne I    |  4830.6376 |     5 | 5  |           |      
Ne I    |  4838.6641 |   500 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4843.9118 |    10 | 3  |           |      
Ne I    |  4844.2807 |    50 | 5  |           |      
Ne I    |  4846.495  |    15 | 3  |           |      
Ne I    |  4847.139  |     5 | 1  |           |      
Ne I    |  4850.8826 |    30 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4852.855  |    60 | 3  |           |      
Ne I    |  4854.0118 |   100 | 5  |           |      
Ne I    |  4860.9633 |    15 | 3  |           |      
Ne I    |  4864.4362 |   100 | 7  |           |      
Ne I    |  4865.6852 |   30* | 3  |           |      
        |            |       |    |           |      
Ne I    |  4865.7289 |   30* | 3  |           |      
Ne I    |  4866.8619 |   100 | 5  |           |      
Ne I    |  4867.8359 |    80 | 7  |           |      
Ne I    |  4868.369  |    70 | 1  |           |      
Ne I    |  4869.626  |    70 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4884.7725 |    15 | 3  |           |      
Ne I    |  4886.2826 |  1000 | 7  |           |      
Ne I    |  4886.4541 |   100 | 5  |           |      
Ne I    |  4889.7286 |     5 | 3  |           |      
Ne I    |  4893.4553 |   500 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4893.5983 |    10 | 5  |           |      
Ne I    |  4899.2890 |    70 | 5  |           |      
Ne I    |  4900.3787 |    50 | 3  |           |      
Ne I    |  4929.6138 |    70 | 3  |           |      
Ne I    |  4932.324  |    50 | 1  |           |      
        |            |       |    |           |      
Ne I    |  4940.4213 |   100 | 3  |           |      
Ne I    |  4946.3676 |   100 | 5  |           |      
Ne I    |  4956.7740 |   150 | 3  | 3.3e-03   | D    
Ne I    |  4958.4170 |  1000 | 5  |           |      
Ne I    |  4958.5055 |   150 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4974.9397 |   100 | 5  |           |      
Ne I    |  4976.1545 |    50 | 3  |           |      
Ne I    |  4977.3852 |    10 | 5  |           |      
Ne I    |  4981.0317 |     5 | 1  |           |      
Ne I    |  4996.3227 |   150 | 7  |           |      
        |            |       |    |           |      
Ne I    |  4997.6403 |     2 | 3  |           |      
Ne I    |  4998.8817 |    15 | 5  |           |      
Ne I    |  4999.9092 |    10 | 7  |           |      
Ne I    |  5001.798  |     3 | 3  |           |      
Ne I    |  5004.9692 |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5006.5546 |   500 | 7  |           |      
Ne I    |  5006.7346 |    50 | 5  |           |      
Ne I    |  5012.4006 |    25 | 3  |           |      
Ne I    |  5016.582  |     5 | 3  |           |      
Ne I    |  5024.2651 |    25 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5032.7524 |   250 | 7  |           |      
Ne I    |  5032.9087 |     2 | 5  |           |      
Ne I    |  5037.3977 |    35 | 5  |           |      
Ne I    |  5038.9912 |     3 | 7  |           |      
Ne I    |  5039.1558 |   500 | 9  |           |      
        |            |       |    |           |      
Ne I    |  5042.9919 |     1 | 3  |           |      
Ne I    |  5044.2559 |    15 | 5  |           |      
Ne I    |  5047.225  |    15 | 3  |           |      
Ne I    |  5048.0010 |     3 | 1  |           |      
Ne I    |  5054.3499 |    25 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5060.5738 |     2 | 5  |           |      
Ne I    |  5075.4559 |     3 | 7  |           |      
Ne I    |  5075.6149 |    35 | 5  |           |      
Ne I    |  5078.0062 |    35 | 3  |           |      
Ne I    |  5080.1804 |    15 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5081.8011 |   150 | 7  |           |      
Ne I    |  5082.7964 |    15 | 5  |           |      
Ne I    |  5085.3853 |    25 | 3  |           |      
Ne I    |  5091.7484 |     8 | 3  |           |      
Ne I    |  5100.4696 |    25 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5106.1224 |    35 | 1  |           |      
Ne I    |  5115.0976 |    75 | 3  | 1.0e-02   | D    
Ne I    |  5117.9288 |   150 | 5  |           |      
Ne I    |  5118.4464 |    35 | 5  |           |      
Ne I    |  5121.9295 |    25 | 3  | 5.6e-03   | D    
        |            |       |    |           |      
Ne I    |  5123.3189 |     2 | 3  |           |      
Ne I    |  5123.6839 |   150 | 5  |           |      
Ne I    |  5123.7784 |   150 | 5  |           |      
Ne I    |  5129.7139 |     2 | 5  |           |      
Ne I    |  5144.6956 |     5 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5146.3707 |   500 | 7  |           |      
Ne I    |  5146.4656 |   500 | 5  |           |      
Ne I    |  5146.5609 |    35 | 5  |           |      
Ne I    |  5151.5141 |    35 | 3  |           |      
Ne I    |  5153.3971 |    75 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5155.8623 |    50 | 3  | 1.9e-02   | D    
Ne I    |  5158.1037 |    50 | 5  |           |      
Ne I    |  5160.3386 |    50 | 3  |           |      
Ne I    |  5164.9211 |    10 | 1  |           |      
Ne I    |  5183.7625 |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5190.0576 |   150 | 5  |           |      
Ne I    |  5192.7681 |    35 | 3  | 1.3e-02   | D    
Ne I    |  5194.5713 |   150 | 5  |           |      
Ne I    |  5194.6685 |   150 | 5  |           |      
Ne I    |  5205.3447 |   150 | 7  |           |      
        |            |       |    |           |      
Ne I    |  5208.0271 |     3 | 3  |           |      
Ne I    |  5210.3141 |    70 | 5  |           |      
Ne I    |  5212.0190 |    50 | 7  |           |      
Ne I    |  5215.7892 |    35 | 3  |           |      
Ne I    |  5223.8057 |    50 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5235.4844 |    50 | 5  |           |      
Ne I    |  5275.5086 |    40 | 3  |           |      
Ne I    |  5281.5563 |     5 | 1  |           |      
Ne I    |  5299.6636 |   150 | 3  |           |      
Ne I    |  5306.2331 |    70 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5316.2648 |    30 | 3  |           |      
Ne I    |  5318.2836 |    25 | 5  |           |      
Ne I    |  5322.0310 |     2 | 5  |           |      
Ne I    |  5327.8781 |    75 | 3  | 6.8e-03   | D    
Ne I    |  5332.2603 |   600 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5334.7906 |    50 | 3  | 5.3e-03   | D    
Ne I    |  5337.1903 |    10 | 5  |           |      
Ne I    |  5342.5792 |  1000 | 3  | 1.1e-01   | D    
Ne I    |  5344.1096 |     1 | 3  |           |      
Ne I    |  5344.7699 |   600 | 1  |           |      
        |            |       |    |           |      
Ne I    |  5350.6902 |   150 | 3  |           |      
Ne I    |  5354.997  |     5 | 3  |           |      
Ne I    |  5356.6520 |   150 | 7  |           |      
Ne I    |  5356.9116 |   150 | 1  |           |      
Ne I    |  5359.4928 |    10 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5361.5014 |   150 | 3  |           |      
Ne I    |  5361.9147 |    35 | 5  |           |      
Ne I    |  5363.7203 |    25 | 7  |           |      
Ne I    |  5367.7133 |    25 | 3  |           |      
Ne I    |  5373.8046 |    75 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5376.4715 |    50 | 3  |           |      
Ne I    |  5384.7442 |    25 | 3  |           |      
Ne I    |  5402.0632 |  2000 | 1  | 9.0e-03   | B    
Ne I    |  5411.6837 |     5 | 3  |           |      
Ne I    |  5414.1530 |   250 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5420.0652 |   150 | 3  | 5.2e-03   | D    
Ne I    |  5421.6647 |    50 | 1  |           |      
Ne I    |  5435.1612 |   250 | 3  | 2.83e-03  | B    
Ne I    |  5448.6161 |     8 | 3  |           |      
Ne I    |  5450.0240 |   150 | 1  |           |      
        |            |       |    |           |      
Ne I    |  5495.9425 |    50 | 3  |           |      
Ne I    |  5508.8712 |    25 | 5  |           |      
Ne I    |  5512.7090 |     3 | 5  |           |      
Ne I    |  5513.0272 |    15 | 7  |           |      
Ne I    |  5535.2158 |    75 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5540.1901 |    50 | 3  |           |      
Ne I    |  5560.6412 |    35 | 3  |           |      
Ne I    |  5563.9873 |   150 | 5  |           |      
Ne I    |  5564.3115 |   500 | 7  |           |      
Ne I    |  5564.5991 |    75 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5577.5868 |    35 | 3  |           |      
Ne I    |  5587.4605 |     5 | 3  |           |      
Ne I    |  5590.9029 |    50 | 5  |           |      
Ne I    |  5654.1364 |    75 | 3  | 8.9e-03   | D    
Ne I    |  5657.5960 |    75 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5658.2286 |   500 | 5  |           |      
Ne I    |  5664.1203 |    75 | 3  | 6.9e-03   | D    
Ne I    |  5686.2388 |    25 | 3  |           |      
Ne I    |  5691.3949 |   150 | 5  |           |      
Ne I    |  5716.9326 |    35 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5720.4694 |   150 | 5  |           |      
Ne I    |  5720.8121 |   500 | 7  |           |      
Ne I    |  5721.1161 |    75 | 5  |           |      
Ne I    |  5749.8934 |   500 | 7  |           |      
Ne I    |  5750.2438 |    70 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5762.1873 |    70 | 5  |           |      
Ne I    |  5765.6534 |     3 | 7  |           |      
Ne I    |  5766.0178 |   700 | 9  |           |      
Ne I    |  5771.9154 |    50 | 3  |           |      
Ne I    |  5805.7015 |    75 | 7  |           |      
        |            |       |    |           |      
Ne I    |  5806.0588 |   500 | 5  |           |      
Ne I    |  5813.0185 |   300 | 3  |           |      
Ne I    |  5818.2355 |    50 | 5  |           |      
Ne I    |  5821.7694 |   500 | 7  |           |      
Ne I    |  5830.5232 |    75 | 3  |           |      
        |            |       |    |           |      
Ne I    |  5854.1101 |  2000 | 1  | 6.82e-01  | B    
Ne I    |  5870.0441 |    75 | 3  | 1.4e-02   | D    
Ne I    |  5873.7730 |    75 | 5  |           |      
Ne I    |  5874.4548 |   500 | 5  |           |      
Ne I    |  5883.5254 |  1000 | 3  | 1.15e-01  | B-   
        |            |       |    |           |      
Ne I    |  5899.9657 |    20 | 3  |           |      
Ne I    |  5903.7328 |     3 | 5  |           |      
Ne I    |  5904.0977 |    50 | 7  |           |      
Ne I    |  5904.4216 |     5 | 5  |           |      
Ne I    |  5908.0646 |    50 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5915.2711 |   250 | 3  | 4.8e-02   | D    
Ne I    |  5920.5480 |   250 | 3  |           |      
Ne I    |  5920.6734 |     8 | 5  |           |      
Ne I    |  5924.3328 |   25f | 7  |           |      
Ne I    |  5936.1002 |    75 | 1  |           |      
        |            |       |    |           |      
Ne I    |  5940.9635 |    50 | 3  |           |      
Ne I    |  5946.4812 |   500 | 5  | 1.13e-01  | C+   
Ne I    |  5963.2758 |    70 | 3  | 3.3e-02   | D    
Ne I    |  5967.1242 |   500 | 5  |           |      
Ne I    |  5967.8278 |    35 | 5  |           |      
        |            |       |    |           |      
Ne I    |  5976.2833 |   500 | 7  |           |      
Ne I    |  5977.1892 |   600 | 3  | 3.51e-02  | B-   
Ne I    |  5984.0369 |     8 | 3  |           |      
Ne I    |  5989.5655 |   150 | 5  |           |      
Ne I    |  5993.3107 |    75 | 7  |           |      
        |            |       |    |           |      
Ne I    |  6002.5884 |   100 | 3  |           |      
Ne I    |  6031.6667 |  1000 | 3  | 5.61e-02  | B-   
Ne I    |  6043.6629 |    15 | 3  |           |      
Ne I    |  6047.8082 |    50 | 3  | 2.26e-03  | B    
Ne I    |  6066.2161 |    50 | 1  |           |      
        |            |       |    |           |      
Ne I    |  6076.0194 |  1000 | 1  | 6.03e-01  | C+   
Ne I    |  6097.8507 |   300 | 5  | 1.81e-01  | C+   
Ne I    |  6119.7088 |    15 | 3  | 6.09e-03  | B    
Ne I    |  6130.1462 |   100 | 3  | 6.7e-03   | B-   
Ne I    |  6144.2055 |   100 | 5  |           |      
        |            |       |    |           |      
Ne I    |  6144.7628 |  1000 | 5  | 2.82e-01  | B-   
Ne I    |  6152.0001 |   100 | 3  | 1.5e-02   | D    
Ne I    |  6157.8436 |    50 | 5  |           |      
Ne I    |  6165.2996 |  1000 | 3  | 1.46e-01  | B-   
Ne I    |  6174.5329 |    15 | 1  |           |      
        |            |       |    |           |      
Ne I    |  6176.5908 |    70 | 7  |           |      
Ne I    |  6176.9952 |    50 | 5  |           |      
Ne I    |  6183.8586 |   150 | 5  |           |      
Ne I    |  6184.8732 |     5 | 3  |           |      
Ne I    |  6190.7794 |    70 | 5  |           |      
        |            |       |    |           |      
Ne I    |  6194.7805 |    50 | 7  |           |      
Ne I    |  6204.6929 |    15 | 3  |           |      
Ne I    |  6207.4952 |   100 | 3  |           |      
Ne I    |  6215.5965 |   150 | 3  |           |      
Ne I    |  6219.0013 |  1000 | 3  | 6.37e-02  | B-   
        |            |       |    |           |      
Ne I    |  6227.4604 |    50 | 3  |           |      
Ne I    |  6248.4560 |   100 | 5  |           |      
Ne I    |  6251.3205 |     5 | 3  |           |      
Ne I    |  6254.4815 |     2 | 3  |           |      
Ne I    |  6260.5214 |   100 | 5  |           |      
        |            |       |    |           |      
Ne I    |  6268.2283 |  1000 | 3  | 2.49e-01  | B-   
Ne I    |  6274.7505 |    70 | 3  | 9.7e-03   | D    
Ne I    |  6277.7726 |    50 | 1  |           |      
Ne I    |  6295.4864 |   100 | 3  | 6.39e-03  | B    
Ne I    |  6306.5325 |   100 | 5  | 4.16e-02  | B-   
        |            |       |    |           |      
Ne I    |  6315.4353 |   150 | 1  |           |      
Ne I    |  6329.9151 |   300 | 3  | 3.39e-02  | B    
Ne I    |  6332.6451 |   150 | 3  | 2.3e-02   | D    
Ne I    |  6336.1794 |  1000 | 5  | 1.61e-01  | B-   
Ne I    |  6353.6126 |   100 | 3  | 3.45e-03  | B    
        |            |       |    |           |      
Ne I    |  6366.7573 |   100 | 5  |           |      
Ne I    |  6384.7562 |  1000 | 3  | 3.21e-01  | B-   
