-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne II   |  3245.032  |   100 | 8  | 1.5e+00   | D    
Ne II   |  3249.069  |       | 4  | 2.4e-01   | D    
        |            |       |    |           |      
Ne II   |  3249.28   |   100 | _  |           |      
Ne II   |  3251.30   |   100 | _  |           |      
Ne II   |  3256.364  |       | 4  | 3.8e-02   | D    
Ne II   |  3264.352  |       | 4  | 3.9e-01   | D    
Ne II   |  3270.814  |       | 6  | 5.1e-01   | D-   
        |            |       |    |           |      
Ne II   |  3271.743  |       | 4  | 5.7e-02   | D    
Ne II   |  3298.674  |   150 | 6  | 4.3e-01   | D    
Ne V    |  3301.26   |       | 5  | 1.9e-13   | D    
Ne II   |  3310.692  |   150 | 2  | 3.1e-01   | D    
Ne II   |  3311.460  |       | 4  | 6.9e-02   | D    
        |            |       |    |           |      
Ne II   |  3312.225  |       | 2  | 2.6e-01   | D    
Ne II   |  3315.628  |       | 6  | 4.4e-02   | D    
Ne II   |  3320.678  |   300 | 2  | 1.6e+00   | D    
Ne II   |  3321.154  |       | 6  | 2.1e-01   | D    
Ne II   |  3324.690  |  1000 | 4  | 1.6e+00   | D    
        |            |       |    |           |      
Ne II   |  3328.109  |   150 | 4  | 9.1e-01   | D    
Ne II   |  3330.116  |   100 | 8  | 8.8e-01   | D    
Ne II   |  3331.694  |       | 6  | 3.9e-02   | D    
Ne II   |  3335.741  |       | 4  | 3.0e-02   | D    
Ne II   |  3335.795  |   200 | 8  | 1.8e+00   | D    
        |            |       |    |           |      
Ne II   |  3337.052  |       | 6  | 1.1e+00   | D    
Ne III  |  3343.39   |       | 1  | 2.80e-08  | C    
Ne II   |  3345.358  |   150 | 2  | 1.5e+00   | D    
Ne II   |  3346.416  |   300 | 4  | 1.4e+00   | D    
Ne II   |  3346.792  |   150 | 4  | 2.2e-01   | D    
        |            |       |    |           |      
Ne V    |  3346.82   |       | 5  | 1.38e-09  | C    
Ne V    |  3346.82   |       | 5  | 6.2e-13   | D    
Ne II   |  3346.843  |       | 4  | 2.2e-01   | D    
Ne I    |  3352.7126 |     3 | 1  |           |      
Ne II   |  3354.531  |       | 2  | 1.2e-01   | D    
        |            |       |    |           |      
Ne II   |  3355.981  |   200 | 6  | 1.3e+00   | D    
Ne II   |  3357.273  |       | 6  | 2.0e-01   | D-   
Ne II   |  3358.785  |   120 | 6  | 5.0e-01   | D    
Ne II   |  3361.237  |       | 4  | 8.6e-01   | D    
Ne II   |  3361.563  |   200 | 4  | 8.2e-01   | D    
        |            |       |    |           |      
Ne II   |  3363.13   |   120 | _  |           |      
Ne II   |  3363.68   |   100 | _  |           |      
Ne II   |  3363.904  |       | 2  | 3.5e-01   | D    
Ne II   |  3367.953  |       | 8  | 3.5e-02   | D    
Ne II   |  3368.184  |   120 | 8  | 1.0e+00   | D    
        |            |       |    |           |      
Ne I    |  3370.7760 |   490 | 5  |           |      
