# This standard spectrum was made by Joe Hennawi by combining the
# Massey P., Strobel K., Barnes J.V., Anderson E. Astrophys. J. 328, 315 (1988)
# measurements with the Hamuy standards on the ESO webpage, i.e. 
# (Hamuy et al., PASP, 104, 533, 1992); 
#the second to wavelengths from 6000 to 10500A (Hamuy et al., PASP, 
# 106, 566, 1994). 
#http://www.eso.org/sci/observing/tools/standards/spectra/hamuystandards.html
# Note that the Massey data were presented in the Hayes-Latham system 
# system which I converted assuming they were AB mags. This probably 
# results in a small shift, but it matches on very well to the Hamuy data. 
#      LAM            FLAM (1d-16)
      3632.47       3774.1308
      3634.55       3742.1333
      3636.63       3734.4116
      3638.71       3750.8096
      3640.79       3770.7553
      3642.88       3818.8454
      3644.96       3846.2357
      3647.04       3813.6413
      3649.12       3763.9557
      3651.20       3763.1316
      3653.28       3786.6409
      3655.36       3796.2894
      3657.45       3781.5094
      3659.53       3801.6398
      3661.61       3797.3193
      3663.69       3786.0258
      3665.77       3823.7575
      3667.85       3908.3833
      3669.93       3889.5958
      3672.01       3867.3365
      3674.10       3855.8476
      3676.18       3837.3166
      3678.26       3815.3639
      3680.34       3818.0794
      3682.42       3834.8972
      3684.50       3830.5658
      3686.58       3801.6522
      3688.67       3769.4849
      3690.75       3765.2346
      3692.83       3740.2660
      3694.91       3732.6126
      3696.99       3762.9104
      3699.07       3748.3048
      3701.15       3682.5309
      3703.24       3611.2564
      3705.32       3551.1597
      3707.40       3540.6460
      3709.48       3562.8271
      3711.56       3608.3417
      3713.64       3654.4370
      3715.72       3718.2110
      3717.80       3693.5819
      3719.89       3672.4980
      3721.97       3668.3921
      3724.05       3698.1955
      3726.13       3769.6812
      3728.21       3856.7335
      3730.29       3920.4405
      3732.37       3876.5957
      3734.46       3770.2152
      3736.54       3766.0161
      3738.62       3849.4469
      3740.70       4007.8819
      3742.78       4066.6035
      3744.86       3987.9450
      3746.94       3807.7311
      3749.02       3632.3210
      3751.11       3598.3366
      3753.19       3743.0036
      3755.27       3922.2811
      3757.35       4102.5805
      3759.43       4224.5076
      3761.51       4314.1519
      3763.59       4325.2900
      3765.68       4187.3075
      3767.76       3903.5068
      3769.84       3625.5599
      3771.92       3545.6491
      3774.00       3644.3209
      3776.08       3875.5886
      3778.16       4110.1650
      3780.25       4275.4391
      3782.33       4414.7156
      3784.41       4545.9528
      3786.49       4633.9045
      3788.57       4611.7939
      3790.65       4411.5666
      3792.73       4135.3853
      3794.81       3855.1345
      3796.90       3623.7916
      3798.98       3524.4156
      3801.06       3576.1149
      3803.14       3792.5892
      3805.22       4074.3731
      3807.30       4265.6541
      3809.38       4404.6465
      3811.47       4531.4462
      3813.55       4627.6692
      3815.63       4592.9148
      3817.71       4434.1957
      3819.79       4265.2182
      3821.87       4264.5014
      3823.95       4319.1225
      3826.04       4274.8689
      3828.12       4173.0176
      3830.20       4032.5365
      3832.28       3790.5871
      3834.36       3606.0744
      3836.44       3556.0133
      3838.52       3634.8967
      3840.60       3851.4235
      3842.69       4084.6131
      3844.77       4272.4862
      3846.85       4395.5214
      3848.93       4480.6468
      3851.01       4525.5481
      3853.09       4596.2297
      3855.17       4698.2104
      3857.26       4758.4312
      3859.34       4740.1836
      3861.42       4735.0745
      3863.50       4725.6221
      3865.58       4694.5177
      3867.66       4629.3868
      3869.74       4565.1621
      3871.83       4514.2879
      3873.91       4455.7650
      3875.99       4365.7190
      3878.07       4305.1615
      3880.15       4206.5238
      3882.23       4057.4906
      3884.31       3838.7687
      3886.40       3628.4979
      3888.48       3471.0579
      3890.56       3379.0694
      3892.64       3416.1143
      3894.72       3653.1559
      3896.80       3950.0624
