# This standard spectrum was made by Joe Hennawi by combining the
# http://www.ing.iac.es/Astronomy/observing/manuals/html_manuals/tech_notes/tn065-100/w1346a.oke spectrum which extends to 10640
# with the higher resolution spectrum on NAOJ website
# http://www.naoj.org/Observing/Instruments/FOCAS/Detail/UsersGuide/Observing/StandardStar/Spec/PLOTDATA/data/wolf1346.dat
# both of these files were in AB magnitudes. 
#      LAM            FLAM (1d-16)
      3644.46       2131.8426
      3646.54       2133.3345
      3648.62       2109.4208
      3650.70       2091.5464
      3652.79       2120.1771
      3654.87       2145.2462
      3656.95       2164.6249
      3659.03       2148.2670
      3661.11       2091.1931
      3663.20       2123.7340
      3665.28       2200.9315
      3667.36       2243.4341
      3669.44       2212.1793
      3671.53       2163.3524
      3673.61       2050.3819
      3675.69       2031.1529
      3677.77       2104.9931
      3679.86       2163.5110
      3681.94       2139.2811
      3684.02       2107.5439
      3686.10       2076.2809
      3688.18       2034.2074
      3690.27       2112.0553
      3692.35       2131.1557
      3694.43       2107.2964
      3696.51       2064.6015
      3698.60       2066.0795
      3700.68       2059.9573
      3702.76       2074.7681
      3704.84       2124.6188
      3706.93       2145.8186
      3709.01       2139.4656
      3711.09       2129.2071
      3713.17       2122.9059
      3715.25       2093.3595
      3717.34       2096.7996
      3719.42       2086.7508
      3721.50       2061.5050
      3723.58       2027.2090
      3725.67       2010.0791
      3727.75       1987.5933
      3729.83       1983.5480
      3731.91       2029.3548
      3733.99       2051.5084
      3736.08       2039.8064
      3738.16       2024.4407
      3740.24       2029.6523
      3742.32       2040.5075
      3744.41       2019.5513
      3746.49       1989.6281
      3748.57       1965.5734
      3750.65       1968.8245
      3752.73       1952.2020
      3754.82       1941.0793
      3756.90       1949.6720
      3758.98       1989.2079
      3761.06       2020.2234
      3763.15       1990.2998
      3765.23       1923.2596
      3767.31       1879.1334
      3769.39       1952.8899
      3771.48       1977.8722
      3773.56       1975.6899
      3775.64       1984.4467
      3777.72       2006.1377
      3779.80       1998.3981
      3781.89       1988.8579
      3783.97       1992.1654
      3786.05       1977.1861
      3788.13       1984.1294
      3790.22       1980.1264
      3792.30       1950.8133
      3794.38       1888.5964
      3796.46       1890.0032
      3798.54       1900.1429
      3800.63       2273.5803
      3802.71       2209.1962
      3804.79       2021.8972
      3806.87       1881.4106
      3808.96       1889.7695
      3811.04       1967.5879
      3813.12       1998.2947
      3815.20       1961.4866
      3817.29       1907.7053
      3819.37       1916.1868
      3821.45       1930.0312
      3823.53       1904.9842
      3825.61       1852.7566
      3827.70       1843.9359
      3829.78       1897.0260
      3831.86       1955.2459
      3833.94       1974.8271
      3836.03       1903.0826
      3838.11       1830.5695
      3840.19       1801.8356
      3842.27       1824.9224
      3844.35       1872.2919
      3846.44       1917.3590
      3848.52       1936.5708
      3850.60       1938.0432
      3852.68       1934.1677
      3854.77       1940.9953
      3856.85       1949.6454
      3858.93       1969.1862
      3861.01       2011.0290
      3863.10       2007.0115
      3865.18       1970.0706
      3867.26       1967.9497
      3869.34       1989.5123
      3871.42       2007.6093
      3873.51       1927.5784
      3875.59       1816.9600
      3877.67       1709.5374
      3879.75       1647.4508
      3881.84       1620.1169
      3883.92       1613.9142
      3886.00       1610.7017
      3888.08       1616.4038
      3890.16       1655.3301
      3892.25       1703.0211
      3894.33       1807.8211
      3896.41       1956.5506
      3898.49       2048.4572
      3900.58       1990.5047
      3902.66       1909.4125
      3904.74       1874.2885
      3906.82       1887.8753
      3908.91       1901.5617
      3910.99       1904.7936
      3913.07       1906.2750
      3915.15       1902.4940
      3917.23       1928.6871
      3919.32       1933.7488
      3921.40       1951.3653
      3923.48       1978.2328
      3925.56       2003.6261
      3927.65       2008.8891
      3929.73       2008.6106
      3931.81       1980.7773
      3933.89       1912.3874
      3935.97       1858.3006
      3938.06       1834.2426
      3940.14       1827.2480
      3942.22       1798.6169
      3944.30       1763.9238
      3946.39       1710.8882
      3948.47       1699.6644
      3950.55       1731.0340
      3952.63       1759.7363
      3954.72       1717.8700
      3956.80       1632.8002
      3958.88       1530.6503
      3960.96       1445.5042
      3963.04       1415.0205
      3965.13       1405.7451
      3967.21       1392.6779
      3969.29       1358.2975
      3971.37       1329.6558
      3973.46       1317.2978
      3975.54       1369.0807
      3977.62       1479.0206
      3979.70       1597.7899
      3981.78       1652.9715
      3983.87       1669.5941
      3985.95       1697.2939
      3988.03       1727.0448
      3990.11       1768.6829
      3992.20       1788.1215
      3994.28       1802.7860
      3996.36       1814.2255
      3998.44       1861.3966
      4000.53       1908.0364
      4002.61       1937.9141
      4004.69       1982.8176
      4006.77       2043.7672
      4008.85       2070.0474
      4010.94       2079.3570
      4013.02       2098.3510
      4015.10       2111.6780
      4017.18       2125.0909
      4019.27       2120.9344
      4021.35       2093.5221
      4023.43       2041.8691
      4025.51       2032.2552
      4027.59       2077.4438
      4029.68       2167.1067
      4031.76       2233.7335
      4033.84       2237.6027
      4035.92       2194.4967
      4038.01       2156.1882
      4040.09       2157.9373
      4042.17       2133.9851
