# Wavelength, BD28+4211, Feige110, HD192281, HD217086,16CygB
      7639.02      7.39214      6.08571      6.51893      6.97882      5.02631
      7515.81      8.32422      9.17645      7.32004      7.45455      7.84354
      7396.51      8.52968      9.55046      7.57198      7.82191      7.80410
      7280.94      8.66283      9.15149      7.48998      7.98271      7.24926
      7168.93      8.94543      9.21249      8.03232      8.13352      8.23191
      7060.31      9.36323      9.92517      8.39654      8.36872      8.91714
      6954.93      9.31012      10.2484      8.31142      8.51445      8.72288
      6852.65      10.0027      10.1913      8.92274      8.94076      9.04457
      6753.34      9.80057      10.4573      8.76412      8.70154      9.45004
      6656.86      10.0325      10.5816      8.95648      8.75652      9.51973
      6563.10      9.83068      10.3853      8.93707      8.74135      9.15233
      6471.95      10.2017      10.4363      9.01440      8.78896      9.17764
      6383.29      10.3454      10.6779      9.07683      9.03626      9.46600
      6297.03      10.4470      10.9693      9.09147      9.00520      9.11662
      6213.07      10.2916      9.92452      9.21121      9.12656      9.61848
      6131.32      10.3632      10.3674      9.22150      8.99646      9.36495
      6051.69      10.2311      10.3812      9.01134      8.96212      9.46788
      5974.11      10.1353      10.5098      8.96401      8.80341      9.18411
      5898.48      10.0005      10.3558      9.03024      9.01314      9.37644
      5824.75      9.86572      10.2018      9.09647      9.22287      9.56878
      5752.84      9.71545      10.1813      8.87737      8.75894      9.03194
      5682.69      9.58941      10.0318      8.78662      8.72194      9.01925
      5614.22      9.46338      9.88234      8.69587      8.68493      9.00657
      5547.38      9.59166      9.98161      8.48822      8.35770      8.88745
      5482.12      9.71665      10.3491      8.27710      8.03081      8.54047
      5418.38      8.38079      9.77470      8.16451      8.50726      8.63294
      5356.10      8.73810      9.97701      8.22715      8.39179      8.60014
      5295.23      8.78757      9.27296      7.99875      8.07839      8.89101
      5235.73      8.79969      9.32783      7.70314      7.70312      8.30382
      5177.56      8.64769      9.06323      7.63483      7.57191      7.23191
      5120.66      8.36889      9.08440      7.67072      7.70236      7.81687
      5065.00      8.23135      9.05852      7.48566      7.56672      7.57667
      5010.54      7.96623      8.55855      7.26513      7.28364      7.27759
      4957.24      7.82020      8.58514      7.07670      7.08503      7.32455
      4905.06      7.60737      8.36855      6.85967      6.90889      7.13636
      4853.96      6.83735      7.65380      6.22790      6.14687      6.46753
      4803.92      7.01752      7.78135      6.35694      6.34380      6.60122
      4754.90      6.73188      7.56309      6.06474      5.99055      6.19181
      4706.87      6.72217      7.53148      5.85400      5.89118      5.79118
      4659.80      6.28156      6.90561      5.53152      5.60386      5.90371
      4613.67      6.00054      6.59304      5.48799      5.46472      5.91953
      4568.43      5.82967      6.60694      5.29252      5.27961      5.45353
      4524.08      5.44564      6.37762      4.92389      5.02086      4.81003
      4480.58      5.35611      6.27032      4.71847      4.71807      4.61875
      4437.91      5.05898      5.64699      4.50220      4.56345      5.01858
      4396.04      4.73942      5.40646      4.26052      4.34603      4.25987
      4354.96      4.89920      5.52672      4.38136      4.45474      4.63922
      4314.63      4.17173      4.84999      3.81626      3.89132      4.43282
      4275.05      4.03786      4.49479      3.49708      3.55918      3.56653
      4236.18      3.72944      4.31484      3.28094      3.34251      3.37062
      4198.02      3.41047      4.02275      2.94711      3.07946      3.21195
      4160.54      3.17877      3.81839      2.81584      2.92260      3.05044
      4123.72      3.11295      3.58523      2.74680      2.88781      2.77533
      4087.55      2.73815      3.27363      2.31318      2.37516      2.47435
      4052.00      2.52924      3.30384      2.22986      2.31210      2.29167
      4017.07      2.37893      3.14706      2.06207      2.14333      2.25681
      3982.74      2.21582      2.89205      1.97256      2.03397      1.90481
      3948.99      2.10417      2.77420      1.91859      1.95482      1.32349
      3915.80      1.97515      2.82187      1.69809      1.81188      1.12340
      3883.17      1.81225      2.38778      1.49148      1.53233      1.01012
      3851.08      1.72943      2.48015      1.47559      1.58925     0.850289
      3819.51      1.54719      2.40906      1.32534      1.42878     0.618941
      3788.46      1.45446      2.20628      1.18664      1.26477     0.780441
      3757.91      1.33601      2.16669      1.14243      1.20874     0.709946
