1000	25
1050	22.9
1111	21
1180	19 
1250	17.5
1390	14.5
1490	12.8
1600	12  
1700	11.3
1800	10.6
1900	10
2000	9.2 
2100	8.8 
2190	8.5
2300	8
2400	7.5
2500	7
2740	6.5
3440	4.9
4000	4.4
4400	4.1
5500	3.1
7000	2.32
9000	1.5
