# CuAr Line List: 3094A-10470A
# units Angstroms
5145.3083 CuAr
5151.3907 CuAr
5162.2846 CuAr
5165.7728 CuAr
5176.2292 CuAr
5187.7462 CuAr
5216.8139 CuAr
5218.2020 CuAr
5221.2710 CuAr
5254.4648 CuAr
5421.3517 CuAr
5439.9891 CuAr
5442.2427 CuAr
5443.6893 CuAr
5451.6520 CuAr
5457.4157 CuAr
5467.1608 CuAr
5473.4516 CuAr
5490.1194 CuAr
5495.8738 CuAr
5498.1841 CuAr
5506.1128 CuAr
5524.9570 CuAr
5558.7020 CuAr
5572.5413 CuAr
5577.6845 CuAr
5581.8714 CuAr
5588.7200 CuAr
5597.4756 CuAr
5601.1216 CuAr
5606.7330 CuAr
5641.3751 CuAr
5648.6863 CuAr
5650.7043 CuAr
5659.1272 CuAr
5681.9001 CuAr
5691.6612 CuAr
5700.8730 CuAr
5738.3869 CuAr
5739.5196 CuAr
5772.1143 CuAr
5774.0087 CuAr
5783.5360 CuAr
5802.0798 CuAr
5834.2633 CuAr
5860.3103 CuAr
5882.6242 CuAr
5888.5841 CuAr
5912.0853 CuAr
5916.5992 CuAr
5927.1258 CuAr
5928.8130 CuAr
5942.6686 CuAr
5949.2583 CuAr
5971.6008 CuAr
5998.9987 CuAr
6005.7242 CuAr
6013.6777 CuAr
6025.1500 CuAr
6032.1274 CuAr
6043.2233 CuAr
6046.8977 CuAr
6052.7229 CuAr
6059.3725 CuAr
6064.7508 CuAr
6081.2433 CuAr
6085.8797 CuAr
6090.7848 CuAr
6098.8031 CuAr
6101.1615 CuAr
6103.5390 CuAr
6105.6351 CuAr
6113.4657 CuAr
6114.9234 CuAr
6119.6565 CuAr
6123.3619 CuAr
6127.4160 CuAr
6128.7227 CuAr
6145.4411 CuAr
6155.2385 CuAr
6165.1232 CuAr
6170.1740 CuAr
6173.0964 CuAr
6174.4032 CuAr
6212.5031 CuAr
6215.9383 CuAr
6243.1201 CuAr
6296.8722 CuAr
6307.6570 CuAr
6333.1459 CuAr CuAr
6357.0229 CuAr
6364.8937 CuAr
6369.5748 CuAr
6384.7169 CuAr
6396.6097 CuAr
6399.2065 CuAr
6403.0128 CuAr
6416.3071 CuAr
6418.3703 CuAr
6431.5550 CuAr
6437.6003 CuAr
6441.8994 CuAr
6443.8598 CuAr
6466.5526 CuAr
6468.0483 CuAr
6472.4294 CuAr
6481.1453 CuAr
6483.0825 CuAr
6493.9694 CuAr
6499.1061 CuAr
6538.1120 CuAr
6604.8534 CuAr
6620.9665 CuAr
6632.0837 CuAr
6638.2207 CuAr
6639.7403 CuAr
6643.6976 CuAr
6656.9386 CuAr
6660.6761 CuAr
6664.0510 CuAr
6666.3588 CuAr
6677.2817 CuAr
6684.2929 CuAr
6719.2184 CuAr CuAr
6752.8335 CuAr
6756.1631 CuAr
6766.6117 CuAr
6827.2488 CuAr
6861.2688 CuAr
6863.5350 CuAr
6871.2891 CuAr
6879.5824 CuAr
6888.1742 CuAr
6937.6642 CuAr
6951.4776 CuAr
6965.4307 CuAr
7030.2514 CuAr
7067.2181 CuAr
7147.0416 CuAr
7206.9804 CuAr
7272.9359 CuAr
7311.7159 CuAr
7353.2930 CuAr
7372.1184 CuAr
7383.9805 CuAr
7503.8691 CuAr
7514.6518 CuAr
7635.1060 CuAr
7723.7611 CuAr
7724.2072 CuAr
7948.1764 CuAr CuAr
8006.1567 CuAr
8014.7857 CuAr
8103.6931 CuAr
8115.311 CuAr
8264.5225 CuAr
8408.2096 CuAr
8424.6475 CuAr
8521.4422 CuAr
8667.9442 CuAr
9122.9674 CuAr
9224.4992 CuAr
9354.2198 CuAr
9657.7863 CuAr
9784.5028 CuAr
10470.0535 CuAr
