 $#  Uses Murphy approved list for HIRESb 
3466.896805 1   Th
3468.219799 1   Th
3469.345454 1   Th
3469.920804 1   Th
3470.567491 1   Th
3471.596494 1   Ar
3471.959330 1   Th
3473.029075 1   Th
3473.780741 1   Th
3476.747140 1   Ar
3477.704260 1   Th
3478.463542 1   Th
3479.684721 1   Th
3480.505247 1   Ar
3481.002984 1   Th
3484.080004 1   Th
3485.472192 1   Th
3488.833855 1   Th
3489.184152 1   Th
3489.507600 1   Th
3490.872959 1   Ar
3491.243710 1   Ar
3491.535601 1   Ar
3493.518543 1   Th
3496.810716 1   Th
3497.262877 1   Th
3498.009831 1   Th
3500.842386 1   Th
3501.455948 1   Th
3505.494138 1   Th
3506.852035 1   Th
3509.777919 1   Ar
3514.387363 1   Ar
3516.354506 1   XX
3516.577158 1   Th
3516.824308 1   Th
3518.404024 1   Th
3519.993364 1   Ar
3521.059481 1   Th
3521.259918 1   Ar
3523.506150 1   Th
3523.758548 1   Th
3524.178731 1   Th
3524.536471 1   Ni
3527.000519 1   XX
3527.322379 1   Th
3528.411658 1   Th
3529.385973 1   Th
3530.514780 1   Th
3531.450561 1   Th
3535.319295 1   Ar
3537.159758 1   Th
3538.212569 1   Th
3539.322306 1   Th
3539.587276 1   Th
3541.615914 1   Th
3541.969699 1   Th
3543.146944 1   Ar
3545.595189 1   Ar
3545.843139 1   Ar
3547.917487 1   XX
3548.514041 1   Ar
3550.292441 1   Th
3551.401923 1   Th
3553.110325 1   Th
3553.377187 1   Th
3554.305517 1   Ar
3555.704633 1   Th
3556.314437 1   Th
3556.903771 1   Ar
3559.507869 1   Ar
3561.030143 1   Ar
3561.780880 1   Th
3562.191140 1   Ar
3565.029311 1   Ar
3566.371807 1   Ni
3567.263810 1   Th
3569.620438 1   Th
3569.820475 1   Th
3571.009220 1   XX
3571.573099 1   Th
3573.219647 1   Th
3576.615368 1   Ar
3577.215674 1   Th
3577.599396 1   Th
3578.355625 1   Ar
3578.686375 1   Cr
3578.949763 1   Th
3581.608015 1   Ar
3582.009135 1   Th
3582.354424 1   Ar
3584.175638 1   Th
3588.440232 1   Ar
3589.360309 1   Th
3589.749503 1   Th
3589.994165 1   Th
3591.452414 1   Th
3592.073770 1   XX
3594.111161 1   Th
3594.985616 1   Th
3595.617736 1   Th
3597.495522 1   XX
3598.119977 1   Th
3600.221726 1   Ar
3600.432327 1   Th
3601.771594 1   Th
3603.204207 1   Th
3605.193661 1   Th
3606.521607 1   Ar
3607.393345 1   Th
3609.445187 1   Th
3610.397099 1   Th
3611.160461 1   Th
3611.813042 1   Ar
3612.427480 1   Th
3612.866647 1   Th
3615.132757 1   Th
3615.850348 1   Th
3616.177796 1   Th
3618.363366 1   Th
3622.137205 1   Ar
3622.795452 1   Th
3624.472007 1   Th
3625.628038 1   Th
3634.213564 1   Th
3635.419485 1   Th
3635.943368 1   XX
3636.566730 1   Th
3637.031051 1   Ar
3638.644471 1   Th
3639.446974 1   Th
3641.112866 1   Th
3642.249004 1   Th
3642.572916 1   Th
3643.512345 1   Th
3643.825007 1   Th
3646.884173 1   Th
3648.421263 1   Th
3648.855241 1   Th
3649.249611 1   Th
3650.204603 1   Th
3652.168348 1   Th
3652.537225 1   Th
3654.461786 1   Th
3655.277777 1   Ar
3656.693835 1   Th
3657.055400 1   Th
3658.808733 1   Th
3659.629386 1   Th
3663.202503 1   Th
3663.702358 1   Th
3665.181162 1   Th
3666.981142 1   Th
3668.139866 1   XX
3671.004152 1   Ar
3671.539836 1   Th
3672.300297 1   Th
3672.521789 1   Th
3673.793557 1   Th
3674.646692 1   Th
3674.891013 1   Th
3675.137204 1   Th
3675.567575 1   Th
3675.789326 1   Th
3676.689687 1   Th
3679.134333 1   XX
3679.710495 1   Th
3680.060450 1   Ar
3680.447719 1   Th
3683.493166 1   Th
3684.932899 1   Th
3685.587034 1   Th
3687.670047 1   Th
3690.623869 1   Th
3690.894860 1   Ar
3691.411749 1   Th
3691.614109 1   Th
3692.566417 1   Th
3695.288968 1   Th
3695.973758 1   Th
3697.030856 1   Th
3697.743648 1   Th
3698.106179 1   Th
3698.754555 1   XX
3699.880809 1   Th
3700.765379 1   Th
3700.978233 1   Th
3702.863833 1   Th
3703.229921 1   Th
3703.774325 1   Th
3704.337359 1   XX
3706.767261 1   Th
3711.304110 1   Th
3714.070569 1   XX
3715.560653 1   XX
3717.170997 1   Ar
3717.829327 1   Th
3719.434728 1   Th
3721.215223 1   Th
3721.825450 1   Th
3723.289817 1   Th
3725.393215 1   XX
3727.612014 1   Th
3727.902757 1   Th
3728.675715 1   XX
3729.308136 1   Ar
3730.748519 1   Th
3732.985429 1   Th
3734.863800 1   Fe
3737.512535 1   Th
3737.888945 1   Ar
3740.855132 1   Th
3741.183057 1   Th
3742.923393 1   Th
3743.508280 1   XX
3747.539032 1   Th
3752.568973 1   Th
3753.242101 1   Th
3754.288404 1   XX
3754.593057 1   Th
3755.212137 1   Th
3756.294123 1   Th
3757.694157 1   Th
3758.467089 1   Th
3761.704389 1   Th
3764.657484 1   XX
3768.435890 1   Th
3770.055998 1   Th
3771.370827 1   Th
3772.236947 1   Th
3772.649869 1   Th
3773.052086 1   XX
3773.757441 1   Th
3774.733159 1   XX
3775.902786 1   Th
3776.271162 1   Th
3783.012697 1   Th
3783.296425 1   Th
3784.574884 1   XX
3785.600691 1   Th
3786.383000 1   Ar
3788.359497 1   Th
