 $#  Uses Murphy approved list for HIRESb 
5069.334846 1   Th
5070.451884 1   Th
5074.646784 1   Th
5075.466404 1   Th
5076.592766 1   Th
5078.033036 1   XX
5079.139590 1   Th
5081.446377 1   Th
5084.994251 1   Th
5085.839710 1   Th
5089.219457 1   Th
5095.855643 1   XX
5096.484919 1   Th
5098.043343 1   Th
5101.129448 1   Th
5106.667313 1   Th
5109.732496 1   Th
5111.277808 1   Th
5115.044494 1   Th
5128.490403 1   Th
5129.846844 1   Th
5130.234482 1   Th
5131.073187 1   Th
5134.746459 1   Th
5137.473905 1   Th
5143.267423 1   Th
5145.037484 1   Th
5145.308610 1   Ar
5146.055581 1   Th
5148.211631 1   Th
5149.206958 1   Th
5153.517477 1   Th
5154.242014 1   Th
5154.897731 1   Th
5158.604754 1   Th
5161.539521 1   Th
5162.285814 1   Ar
5163.458074 1   Th
5165.772981 1   Ar
5168.585992 1   Th
5172.917297 1   Th
5173.672033 1   Th
5175.325212 1   Th
5175.911809 1   Th
5180.721481 1   Th
5182.527281 1   Th
5183.606671 1   Mg
5183.990252 1   Th
5186.413027 1   Th
5188.366006 1   Th
5190.871176 1   Th
5193.825474 1   Th
5194.457234 1   Th
5195.813306 1   Th
5197.235729 1   Th
5208.423641 1   Cr
5209.724726 1   Th
5211.230608 1   Th
5212.347549 1   Th
5212.682412 1   Th
5214.160788 1   Th
5215.765395 1   XX
5216.596580 1   Th
5218.527844 1   Th
5219.110260 1   Th
5219.965167 1   Th
5220.927451 1   Th
5221.862481 1   Ar
5222.262956 1   Th
5224.121923 1   Th
5228.224679 1   Th
5228.994997 1   Th
5233.225429 1   Th
5237.627634 1   Th
5237.905723 1   Th
5238.813071 1   Th
5240.196395 1   Th
5242.089528 1   Th
5245.376753 1   Ar
5247.654859 1   Th
5249.545574 1   Ar
5250.872810 1   Th
5256.562889 1   Ar
5258.360132 1   Th
5259.775891 1   Th
5260.104444 1   Th
5262.236470 1   XX
5265.551661 1   XX
5266.710292 1   Th
5267.163945 1   Ar
5267.965177 1   XX
5268.255384 1   XX
5272.644123 1   Th
5272.927040 1   Th
5274.118669 1   Th
5276.408426 1   Th
5277.499639 1   Th
5281.068457 1   Th
5281.628674 1   Ar
5284.542059 1   Th
5286.069521 1   XX
5286.886950 1   Ar
5293.811852 1   Ar
5294.396938 1   Th
5295.088540 1   Th
5298.282447 1   Th
5299.080921 1   Ar
5300.523253 1   Th
5301.404493 1   Th
5306.98638  1   Th
5307.46549  1   Th
5309.60933  1   Th
5310.26656  1   Th
5312.00178  1   Th
5312.52880  1   Th
5312.90456  1   Th
5315.22777  1   Th
5317.49444  1   Th
5318.42681  1   Th
5320.76993  1   Th
5322.89885  1   Th
5325.14384  1   Th
5325.43168  1   Th
5326.27745  1   Th
5326.97566  1   Th
5329.37450  1   Th
5329.69916  1   Th
5329.75593  1   Th
5330.08045  1   Th
5337.01543  1   Th
5338.639308 1   Th
5340.498065 1   Th
5343.581173 1   Th
5344.524321 1   Ar
5345.311470 1   XX
5346.377927 1   Th
5347.971782 1   Th
5349.005334 1   Th
5349.460441 1   XX
5350.205297 1   Th
5351.126857 1   Th
5354.601394 1   Th
5355.636115 1   Th
5358.707408 1   Th
5359.066905 1   Ar
5359.826437 1   Th
5360.149511 1   Th
5361.155263 1   Th
5362.575235 1   Th
5370.709320 1   Th
5371.488998 1   XX
5371.994848 1   XX
5372.702205 1   Th
5374.821567 1   XX
5375.352518 1   Th
5375.768622 1   Th
5376.130050 1   Th
5378.835215 1   Th
5379.110219 1   Th
5382.927239 1   Th
5384.035411 1   Th
5387.813206 1   XX
5388.051083 1   Th
5391.076288 1   Th
5392.572787 1   Th
5393.600197 1   Ar
5394.761204 1   Th
5396.110525 1   Th
5397.516616 1   Ar
5398.205732 1   Th
5399.175200 1   XX
5399.622162 1   Th
5400.146164 1   Th
5402.605040 1   Ar
5403.199272 1   Th
5405.208258 1   Th
5407.343610 1   Ar
5407.653006 1   Th
5410.768418 1   Th
5421.836182 1   Th
5424.007403 1   Th
5425.677824 1   Th
5429.104937 1   Th
5431.111593 1   Th
5433.291671 1   Th
5433.700392 1   Th
5434.151676 1   Th
5435.123689 1   Th
5436.500247 1   Th
5437.388347 1   Th
5438.137887 1   XX
5440.601143 1   Th
5446.022761 1   Th
5447.154440 1   Th
5448.272401 1   Th
5449.479790 1   Th
5449.899736 1   Th
5451.652050 1   Ar
5452.218660 1   Th
5454.305823 1   Ar
5455.609068 1   XX
5457.797894 1   XX
5458.969195 1   Th
5459.652295 1   XX
5461.156733 1   Th
5461.736883 1   Th
5462.612784 1   Th
5463.318337 1   Th
5464.205069 1   Th
5470.758744 1   Th
5471.388309 1   Th
5472.069345 1   XX
5477.054205 1   Th
5477.553591 1   Th
5479.074296 1   Th
5479.684032 1   Th
5480.890801 1   Th
5481.480095 1   Th
5484.986993 1   Th
5488.629240 1   Th
5488.925667 1   Th
5490.682264 1   XX
5491.532366 1   XX
5492.643935 1   Th
5493.204396 1   Th
5495.875079 1   Ar
5499.647681 1   Th
5501.280955 1   Th
5501.944769 1   Th
5503.265610 1   XX
5504.301590 1   Th
5506.111995 1   Ar
5507.538772 1   Th
5508.558582 1   Th
5509.993104 1   Th
5510.683504 1   Th
5514.873106 1   Th
5518.989225 1   Th
5521.753080 1   Th
5524.219219 1   Th
5524.956476 1   Ar
5527.294542 1   Th
5530.075524 1   Th
5530.696840 1   Th
5535.970908 1   Th
5537.131601 1   Th
5537.555881 1   Th
5539.261800 1   Th
5539.910639 1   Th
5541.582669 1   Th
5541.935830 1   Th
5542.890641 1   Th
5545.050449 1   Ar
5546.120730 1   Th
5547.134707 1   Th
5551.371239 1   Th
5555.531191 1   Th
5556.148467 1   Th
5557.045427 1   Th
5559.142762 1   XX
5559.891048 1   Th
5573.871849 1   Th
5576.204181 1   Th
5579.357544 1   Th
5580.077108 1   Th
5580.755059 1   Th
5582.366961 1   Th
5583.762480 1   Th
5587.734996 1   Th
5593.268918 1   Th
5593.612466 1   XX
5594.461338 1   XX
5595.064394 1   Th
5597.476746 1   Ar
5599.655001 1   Th
5600.466990 1   XX
5601.603067 1   Th
5604.515166 1   Th
5610.680538 1   Th
5612.067646 1   Th
5612.616566 1   Th
5615.728961 1   Th
5620.921620 1   Ar
5622.083659 1   XX
5625.678431 1   Ar
5626.058349 1   Th
5633.294805 1   Th
5635.575186 1   XX
5639.746033 1   Th
5643.109871 1   Th
5647.706340 1   Th
5648.990954 1   Th
5650.705120 1   Ar
5652.902246 1   Th
5655.751792 1   XX
5657.181915 1   Th
5657.925206 1   Th
5659.127298 1   Ar
5660.014531 1   Th
5663.041672 1   Th
5664.620855 1   Th
5665.179556 1   Th
5665.628288 1   Th
5666.419209 1   Th
5667.127984 1   Th
5673.836093 1   Th
5677.052542 1   Th
5680.210406 1   XX
5683.730633 1   XX
5685.192577 1   Th
5686.875995 1   Th
5687.348449 1   Th
5689.629466 1   XX
5696.390416 1   Th
5698.294609 1   Th
5700.917632 1   Th
5702.651464 1   Th
5703.271499 1   XX
5703.942328 1   Th
5704.376668 1   Ar
5707.103137 1   Th
5709.507176 1   XX
5711.996529 1   Th
5717.170806 1   Th
5717.523879 1   Th
5721.423878 1   Th
5723.532425 1   XX
5725.011923 1   Th
5727.710012 1   Th
5729.982784 1   Th
5736.029422 1   Th
5737.894918 1   XX
5738.964396 1   Th
5739.520188 1   Ar
5741.171037 1   Th
5741.829296 1   Th
5742.655924 1   XX
5745.674893 1   Th
5748.324266 1   XX
5748.741222 1   Th
5749.389072 1   Th
5749.786680 1   Th
5750.269815 1   XX
5753.026927 1   Th
5754.552917 1   Th
5762.796577 1   Th
5763.528456 1   Th
5767.778495 1   Th
5768.181074 1   Th
5768.633272 1   Th
5769.660481 1   XX
5771.136797 1   XX
5771.759798 1   Th
5776.167328 1   Th
5777.099293 1   XX
5777.400224 1   Th
5783.537950 1   Ar
5784.866577 1   Th
5789.644814 1   Th
5792.430723 1   Th
5796.068933 1   Th
5796.418553 1   Th
5797.319784 1   Th
5798.478775 1   Th
5800.829807 1   Th
5802.081595 1   Ar
5805.700655 1   Th
5808.075650 1   XX
5808.656496 1   Th
5811.844256 1   Th
5815.421655 1   Th
5817.734068 1   Th
5818.449035 1   Th
5819.126399 1   Th
5819.602612 1   Th
5822.521761 1   Th
5828.075657 1   Ar
5829.110750 1   Th
5830.827386 1   Th
5832.370428 1   Th
5834.264304 1   Ar
5838.949666 1   Th
5839.850998 1   Th
5840.640000 1   Th
5843.804948 1   XX
5845.919546 1   Th
5852.176086 1   XX
5852.680944 1   Th
5853.474514 1   Th
5854.120429 1   Th
5857.448710 1   XX
5860.310810 1   Ar
5863.719119 1   Th
5866.812191 1   Th
5868.374378 1   Th
5869.851186 1   Th
5870.552532 1   Th
5871.182407 1   Th
5872.602399 1   Th
5874.350625 1   Th
5878.276421 1   Th
5882.624429 1   Ar
5885.701097 1   Th
5886.531229 1   Th
5891.450790 1   Th
5895.281404 1   Th
5895.924028 1   Na
5896.363174 1   Th
5899.844054 1   Th
5902.601574 1   Th
5905.175364 1   Th
5905.570764 1   Th
5906.319412 1   XX
5911.230285 1   Th
5914.385629 1   Th
5918.945499 1   Th
5925.404219 1   Th
5926.231866 1   Th
5929.479837 1   Th
5929.933924 1   Th
5936.874664 1   Th
5937.663235 1   Th
5940.565552 1   Th
5942.357950 1   XX
5944.647267 1   Th
5946.235714 1   Th
5948.798653 1   Th
5953.248492 1   XX
5953.581960 1   Th
5955.561293 1   Th
5956.257260 1   Th
5960.782045 1   Th
5964.472956 1   Ar
5967.511634 1   Th
5968.319156 1   Ar
5969.736805 1   Th
5971.600039 1   Ar
5975.065492 1   Th
5985.915285 1   Ar
5986.266195 1   Th
5987.301034 1   Ar
5989.044879 1   Th
5991.006437 1   Th
5993.492876 1   Th
5995.219797 1   Th
5996.629542 1   Th
6001.203223 1   Th
6001.733060 1   Th
6005.165380 1   Th
6007.071707 1   Th
6010.160403 1   Th
6013.677581 1   Ar
6015.421838 1   Th
6016.359238 1   Th
6017.527619 1   XX
6017.859221 1   Th
6018.995197 1   Th
6021.035954 1   Th
6021.410945 1   Th
6022.697352 1   XX
6023.224636 1   Th
6025.150120 1   Ar
6026.045185 1   Th
6029.226527 1   Th
6029.649655 1   Th
6030.444634 1   Th
6032.872513 1   Th
6034.540851 1   XX
6035.192945 1   Th
6036.763611 1   Th
6038.680894 1   Th
6042.589816 1   Th
6044.432509 1   Th
6046.898423 1   Ar
6049.775078 1   Th
6050.981354 1   Th
6052.723191 1   Ar
6053.380881 1   Th
6055.593561 1   Th
6058.179884 1   Th
6064.750220 1   Ar
6065.779692 1   Th
6066.495775 1   Th
6067.079317 1   Th
6069.020461 1   Th
6070.341055 1   XX
6073.103405 1   Th
6076.195905 1   XX
6077.106230 1   Th
6077.873444 1   Th
6078.421720 1   Th
6079.223155 1   Th
6087.262239 1   Th
6088.030147 1   Th
6090.107849 1   Th
6090.786428 1   Ar
6097.193296 1   Th
6098.119995 1   XX
6099.083282 1   Th
6099.989363 1   Th
6101.161657 1   Ar
6101.725299 1   Th
6105.635022 1   Ar
6107.533218 1   XX
6112.837405 1   Th
6113.465684 1   Ar
6113.963466 1   XX
6116.166035 1   Th
6120.556142 1   Th
6122.214611 1   XX
6123.362088 1   Ar
6123.833472 1   Th
6124.480350 1   Th
6125.739064 1   Th
6130.456217 1   XX
6133.814129 1   Th
6137.927168 1   Th
6142.074202 1   XX
6142.611849 1   XX
6144.757809 1   Th
6150.683097 1   Th
6151.993136 1   Th
6154.067977 1   Th
6154.515407 1   Th
6157.087549 1   Th
6162.170209 1   XX
6165.123306 1   Ar
6167.626663 1   Ar
6173.095869 1   Ar
6178.431309 1   Th
6179.848762 1   Th
6180.704936 1   Th
6187.135068 1   Ar
6189.144126 1   Th
6193.855665 1   Th
6195.320590 1   Th
6196.394898 1   Th
6200.432855 1   Th
6201.101178 1   Ar
6205.256378 1   Th
6205.859937 1   Th
6208.686951 1   Th
6209.951376 1   Th
6213.654840 1   XX
6215.939548 1   Ar
6220.011596 1   Th
6226.369616 1   Th
6231.122014 1   Th
6232.977724 1   Th
6234.855274 1   Th
6235.354578 1   XX
6239.713735 1   Ar
6240.303448 1   Th
6240.953508 1   Th
6245.040985 1   Th
6246.174431 1   Th
6248.405488 1   Ar
6250.485123 1   Th
6257.423258 1   Th
6258.606445 1   Th
6260.217164 1   Th
6261.063971 1   Th
6264.714995 1   Th
6266.172075 1   Th
6268.200175 1   Th
6271.545663 1   Th
6274.117134 1   Th
6276.163901 1   Th
6277.240161 1   Th
6279.163311 1   Th
6279.977795 1   Th
6285.278073 1   Th
6287.255422 1   Th
6289.487365 1   Th
6290.403628 1   XX
6291.191394 1   Th
6291.629035 1   Th
6292.891193 1   Th
6293.242453 1   Th
6296.873431 1   Ar
6298.902103 1   Th
6300.916443 1   Th
6301.412500 1   Th
6303.250903 1   Th
6304.242481 1   Th
6312.624675 1   Th
6315.774781 1   Th
6317.183397 1   Th
6321.820008 1   Th
6325.004860 1   XX
6326.366601 1   Th
6331.414229 1   Th
6333.147867 1   Ar
6335.405108 1   Th
6337.620376 1   Th
6339.668592 1   Th
6346.120802 1   Th
6347.105992 1   XX
6348.737373 1   Th
6350.895933 1   XX
6355.910728 1   Th
6357.022890 1   Ar
6358.620763 1   Th
6359.131200 1   Th
6359.674339 1   XX
6362.251095 1   Th
6363.271719 1   XX
6364.893897 1   Ar
6369.575508 1   Ar
6370.796002 1   Th
6371.943933 1   Th
6374.824923 1   Th
6376.930646 1   Th
6377.494975 1   XX
6378.760078 1   Th
6379.171933 1   Th
6380.473655 1   XX
6381.360396 1   Th
6387.395420 1   Th
6387.864845 1   XX
6388.813122 1   Th
6390.128335 1   Th
6392.368363 1   Th
6394.729845 1   Ar
6399.207531 1   Ar
6400.697592 1   Th
6406.445887 1   Th
6413.614241 1   Th
6418.370414 1   Ar
6428.773744 1   Th
6432.957684 1   XX
6436.670214 1   Th
6441.281232 1   XX
6441.900583 1   Ar
6446.135927 1   Th
6446.770949 1   Th
6450.954302 1   Th
6452.058673 1   Th
6460.474603 1   Th
6471.213617 1   Th
6471.657629 1   XX
6472.429914 1   Ar
6475.323342 1   Ar
6483.083300 1   Ar
6485.378057 1   Th
6487.480759 1   Th
6488.883005 1   Th
6490.737378 1   Th
6493.197488 1   Th
6495.255569 1   Th
6497.490430 1   Th
6499.645056 1   XX
6500.657413 1   Th
6501.361901 1   Ar
6503.511916 1   Th
6506.986702 1   Th
6518.443924 1   Th
6522.042420 1   Th
6532.223048 1   Th
6536.144540 1   XX
6545.718868 1   Th
6550.185283 1   XX
6550.548760 1   Th
6551.705620 1   Th
6560.056865 1   Th
6564.444993 1   Th
6569.632213 1   Th
6571.399020 1   XX
6576.123271 1   Th
6577.656281 1   Th
6579.479916 1   Th
6580.229860 1   Th
6586.001055 1   Th
6596.113003 1   Ar
6598.675206 1   Ar
6599.482253 1   Th
6601.129285 1   XX
6603.620514 1   Th
6604.853430 1   Ar
6605.416955 1   Th
6608.445136 1   Th
  6613.3740 1 ThAr
  6617.0580 1 ThAr
  6617.5154 1 ThAr
  6618.1668 1 ThAr
  6619.9458 1 ThAr
  6620.9665 1 ThAr
  6632.0837 1 ThAr
  6633.4579 1 ThAr
  6638.2207 1 ThAr
  6638.9119 1 ThAr
  6639.7403 1 ThAr
  6643.6976 1 ThAr
  6644.6635 1 ThAr
  6646.5407 1 ThAr
  6648.4954 1 ThAr
  6648.9586 1 ThAr
  6654.3675 1 ThAr
  6655.4892 1 ThAr
  6656.9386 1 ThAr
  6658.6774 1 ThAr
  6660.6761 1 ThAr
  6662.2686 1 ThAr
  6663.6966 1 ThAr
  6664.0510 1 ThAr
  6666.3588 1 ThAr
  6668.8163 1 ThAr
  6673.5797 1 ThAr
  6674.6969 1 ThAr
  6677.2817 1 ThAr
  6678.7067 1 ThAr
  6680.0811 1 ThAr
  6683.3673 1 ThAr
  6684.2929 1 ThAr
  6687.5207 1 ThAr
  6692.7262 1 ThAr
  6694.0068 1 ThAr
  6694.4967 1 ThAr
  6696.1400 1 ThAr
  6697.7123 1 ThAr
  6700.7499 1 ThAr
  6711.2521 1 ThAr
  6713.9700 1 ThAr
  6717.3851 1 ThAr
  6719.1995 1 ThAr
  6722.8899 1 ThAr
  6726.3091 1 ThAr
  6727.4583 1 ThAr
  6728.1183 1 ThAr
  6728.7595 1 ThAr
  6729.9328 1 ThAr
  6732.6491 1 ThAr
  6733.7488 1 ThAr
  6738.1800 1 ThAr
  6741.9212 1 ThAr
  6742.8845 1 ThAr
  6746.1355 1 ThAr
  6751.4267 1 ThAr
  6752.8335 1 ThAr
  6753.6598 1 ThAr
  6756.4528 1 ThAr
  6757.1092 1 ThAr
  6758.2035 1 ThAr
  6766.6117 1 ThAr
  6770.1069 1 ThAr
  6772.1745 1 ThAr
  6773.0973 1 ThAr
  6778.3123 1 ThAr
  6779.3242 1 ThAr
  6780.1252 1 ThAr
  6780.4131 1 ThAr
  6787.7364 1 ThAr
  6788.8403 1 ThAr
  6791.2351 1 ThAr
  6795.7982 1 ThAr
  6798.4868 1 ThAr
  6800.4645 1 ThAr
  6807.3190 1 ThAr
  6808.5311 1 ThAr
  6809.1000 1 ThAr
  6809.3173 1 ThAr
  6809.5094 1 ThAr
  6809.6773 1 ThAr
  6810.5494 1 ThAr
  6812.4915 1 ThAr
  6812.7752 1 ThAr
  6815.6123 1 ThAr
  6823.5084 1 ThAr
  6824.6774 1 ThAr
  6827.2488 1 ThAr
  6829.0355 1 ThAr
  6829.3472 1 ThAr
  6832.8927 1 ThAr
  6834.9246 1 ThAr
  6839.2949 1 ThAr
  6846.4790 1 ThAr
  6851.8842 1 ThAr
  6852.3545 1 ThAr
  6853.5234 1 ThAr
  6854.1093 1 ThAr
  6854.5128 1 ThAr
  6855.3150 1 ThAr
  6855.6891 1 ThAr
  6861.2688 1 ThAr
  6862.8685 1 ThAr
  6863.5350 1 ThAr
  6866.3666 1 ThAr
  6866.7634 1 ThAr
  6868.4508 1 ThAr
  6871.2891 1 ThAr
  6874.7530 1 ThAr
  6879.5824 1 ThAr
  6882.8114 1 ThAr
  6886.4082 1 ThAr
  6887.0881 1 ThAr
  6888.1742 1 ThAr
  6889.3032 1 ThAr
  6892.2502 1 ThAr
  6894.2303 1 ThAr
  6900.7632 1 ThAr
  6902.2105 1 ThAr
  6908.9905 1 ThAr
  6909.8491 1 ThAr
  6911.2264 1 ThAr
  6914.7127 1 ThAr
  6916.1289 1 ThAr
  6920.0394 1 ThAr
  6925.0094 1 ThAr
  6936.6528 1 ThAr
  6937.6642 1 ThAr
  6942.5380 1 ThAr
  6943.6105 1 ThAr
  6945.4902 1 ThAr
  6946.2134 1 ThAr
  6951.4776 1 ThAr
  6952.9666 1 ThAr
  6954.6560 1 ThAr
  6955.3150 1 ThAr
  6960.2500 1 ThAr
  6962.3117 1 ThAr
  6965.4307 1 ThAr
  6969.2976 1 ThAr
  6981.0831 1 ThAr
  6985.4718 1 ThAr
  6986.0298 1 ThAr
  6989.6553 1 ThAr
  6992.2126 1 ThAr
  6992.6966 1 ThAr
  6993.0371 1 ThAr
  6993.9873 1 ThAr
  6996.7573 1 ThAr
  6999.6238 1 ThAr
  7000.8036 1 ThAr
  7002.8829 1 ThAr
  7007.0961 1 ThAr
  7014.9689 1 ThAr
  7015.3172 1 ThAr
  7018.5675 1 ThAr
  7020.4841 1 ThAr
  7021.2832 1 ThAr
  7025.2251 1 ThAr
  7026.4616 1 ThAr
  7028.0228 1 ThAr
  7030.2514 1 ThAr
  7032.9310 1 ThAr
  7036.2831 1 ThAr
  7038.7202 1 ThAr
  7045.7970 1 ThAr
  7053.6196 1 ThAr
  7054.4177 1 ThAr
  7058.4895 1 ThAr
  7059.5253 1 ThAr
  7060.0417 1 ThAr
  7060.6538 1 ThAr
  7061.3942 1 ThAr
  7064.4515 1 ThAr
  7067.2181 1 ThAr
  7068.7358 1 ThAr
  7071.0942 1 ThAr
  7071.4800 1 ThAr
  7072.3939 1 ThAr
  7074.2563 1 ThAr
  7075.3336 1 ThAr
  7077.3690 1 ThAr
  7084.1690 1 ThAr
  7086.7044 1 ThAr
  7088.8232 1 ThAr
  7089.3395 1 ThAr
  7100.5144 1 ThAr
  7107.4778 1 ThAr
  7109.1819 1 ThAr
  7109.8602 1 ThAr
  7112.9189 1 ThAr
  7113.9879 1 ThAr
  7114.3984 1 ThAr
  7124.5607 1 ThAr
  7125.8200 1 ThAr
  7130.1846 1 ThAr
  7130.7236 1 ThAr
  7131.3586 1 ThAr
  7132.6100 1 ThAr
  7140.4617 1 ThAr
  7142.3310 1 ThAr
  7147.0416 1 ThAr
  7148.5589 1 ThAr
  7150.2844 1 ThAr
  7153.5877 1 ThAr
  7156.9416 1 ThAr
  7158.8387 1 ThAr
  7159.9470 1 ThAr
  7162.5569 1 ThAr
  7167.2028 1 ThAr
  7168.8952 1 ThAr
  7170.3607 1 ThAr
  7173.3725 1 ThAr
  7176.1860 1 ThAr
  7176.7213 1 ThAr
  7188.5320 1 ThAr
  7191.1328 1 ThAr
  7200.0454 1 ThAr
  7201.8091 1 ThAr
  7202.1910 1 ThAr
  7202.5166 1 ThAr
  7206.4830 1 ThAr
  7206.9804 1 ThAr
  7208.0063 1 ThAr
  7212.6896 1 ThAr
  7218.0542 1 ThAr
  7219.1515 1 ThAr
  7220.9809 1 ThAr
  7225.1099 1 ThAr
  7229.9380 1 ThAr
  7229.9386 1 ThAr
  7230.8623 1 ThAr
  7233.5365 1 ThAr
  7240.1848 1 ThAr
  7242.0919 1 ThAr
  7244.6965 1 ThAr
  7246.1277 1 ThAr
  7250.5895 1 ThAr
  7253.6760 1 ThAr
  7255.3541 1 ThAr
  7256.9860 1 ThAr
  7258.1770 1 ThAr
  7265.1724 1 ThAr
  7270.6636 1 ThAr
  7272.9359 1 ThAr
  7284.9033 1 ThAr
  7285.4437 1 ThAr
  7296.2659 1 ThAr
  7298.1434 1 ThAr
  7305.4043 1 ThAr
  7311.7159 1 ThAr
  7315.0661 1 ThAr
  7316.0050 1 ThAr
  7323.2106 1 ThAr
  7324.8073 1 ThAr
  7326.1491 1 ThAr
  7328.2850 1 ThAr
  7329.4916 1 ThAr
  7335.5772 1 ThAr
  7339.6035 1 ThAr
  7341.1515 1 ThAr
  7342.5769 1 ThAr
  7345.3996 1 ThAr
  7346.3428 1 ThAr
  7348.0530 1 ThAr
  7350.8140 1 ThAr
  7353.2930 1 ThAr
  7358.3449 1 ThAr
  7361.3472 1 ThAr
  7370.8255 1 ThAr
  7372.1184 1 ThAr
  7376.8772 1 ThAr
  7380.4263 1 ThAr
  7383.9805 1 ThAr
  7385.5006 1 ThAr
  7392.9801 1 ThAr
  7393.4377 1 ThAr
  7402.2521 1 ThAr
  7410.9683 1 ThAr
  7411.7363 1 ThAr
  7412.3368 1 ThAr
  7417.7908 1 ThAr
  7418.5499 1 ThAr
  7422.3118 1 ThAr
  7423.8044 1 ThAr
  7425.2942 1 ThAr
  7428.9405 1 ThAr
  7430.2533 1 ThAr
  7435.3683 1 ThAr
  7436.2970 1 ThAr
  7440.4933 1 ThAr
  7444.7489 1 ThAr
  7447.8488 1 ThAr
  7455.2080 1 ThAr
  7458.7541 1 ThAr
  7461.8746 1 ThAr
  7462.9910 1 ThAr
  7469.0566 1 ThAr
  7471.1641 1 ThAr
  7481.3545 1 ThAr
  7483.6256 1 ThAr
  7484.3267 1 ThAr
  7487.9738 1 ThAr
  7493.4276 1 ThAr
  7495.5641 1 ThAr
  7499.0024 1 ThAr
  7500.6556 1 ThAr
  7503.8691 1 ThAr
  7508.4787 1 ThAr
  7510.4082 1 ThAr
  7511.3498 1 ThAr
  7511.7902 1 ThAr
  7514.6518 1 ThAr
  7518.7824 1 ThAr
  7523.1347 1 ThAr
  7525.5079 1 ThAr
  7528.4892 1 ThAr
  7531.1437 1 ThAr
  7536.4365 1 ThAr
  7537.4287 1 ThAr
  7549.3138 1 ThAr
  7555.3254 1 ThAr
  7565.8515 1 ThAr
  7566.5296 1 ThAr
  7567.7417 1 ThAr
  7569.5115 1 ThAr
  7570.5590 1 ThAr
  7571.0326 1 ThAr
  7573.3437 1 ThAr
  7589.3151 1 ThAr
  7598.2054 1 ThAr
  7607.8230 1 ThAr
  7618.3443 1 ThAr
  7620.0773 1 ThAr
  7625.7053 1 ThAr
  7627.1749 1 ThAr
  7628.8818 1 ThAr
  7630.3106 1 ThAr
  7632.1305 1 ThAr
  7635.1060 1 ThAr
  7637.3852 1 ThAr
  7638.7805 1 ThAr
  7647.3794 1 ThAr
  7651.7451 1 ThAr
  7652.3202 1 ThAr
  7653.8284 1 ThAr
  7654.6998 1 ThAr
  7658.3246 1 ThAr
  7660.0234 1 ThAr
  7660.8903 1 ThAr
  7666.5679 1 ThAr
  7668.9608 1 ThAr
  7670.0575 1 ThAr
  7672.2552 1 ThAr
  7676.2195 1 ThAr
  7678.1267 1 ThAr
  7683.0189 1 ThAr
  7685.3075 1 ThAr
  7691.7706 1 ThAr
  7693.8016 1 ThAr
  7699.4034 1 ThAr
  7699.7794 1 ThAr
  7701.1081 1 ThAr
  7703.6850 1 ThAr
  7704.8169 1 ThAr
  7710.2692 1 ThAr
  7712.4050 1 ThAr
  7713.9378 1 ThAr
  7721.2023 1 ThAr
  7723.7611 1 ThAr
  7724.2072 1 ThAr
  7728.9510 1 ThAr
  7731.7385 1 ThAr
  7742.5628 1 ThAr
  7743.9552 1 ThAr
  7761.7133 1 ThAr
  7762.7320 1 ThAr
  7771.9468 1 ThAr
  7776.6727 1 ThAr
  7778.4922 1 ThAr
  7782.3165 1 ThAr
  7787.8002 1 ThAr
  7788.9342 1 ThAr
  7798.3579 1 ThAr
  7810.6245 1 ThAr
  7813.4761 1 ThAr
  7813.9729 1 ThAr
  7814.3230 1 ThAr
  7816.1534 1 ThAr
  7817.7669 1 ThAr
  7822.3877 1 ThAr
  7834.4578 1 ThAr
  7835.6209 1 ThAr
  7836.4597 1 ThAr
  7840.2981 1 ThAr
  7841.7911 1 ThAr
  7842.2656 1 ThAr
  7847.5394 1 ThAr
  7848.4547 1 ThAr
  7861.9100 1 ThAr
  7861.9110 1 ThAr
  7864.0218 1 ThAr
  7865.9698 1 ThAr
  7868.1946 1 ThAr
  7872.6316 1 ThAr
  7875.4626 1 ThAr
  7877.0756 1 ThAr
  7886.2830 1 ThAr
  7891.0750 1 ThAr
  7893.6191 1 ThAr
  7896.4528 1 ThAr
  7899.6229 1 ThAr
  7900.3200 1 ThAr
  7916.4420 1 ThAr
  7924.9914 1 ThAr
  7925.7478 1 ThAr
  7937.7335 1 ThAr
  7941.7259 1 ThAr
  7948.1764 1 ThAr
  7954.5923 1 ThAr
  7956.9740 1 ThAr
  7972.5960 1 ThAr
  7974.1592 1 ThAr
  7978.9731 1 ThAr
  7981.2262 1 ThAr
  7987.9731 1 ThAr
  7991.3655 1 ThAr
  7993.6808 1 ThAr
  8000.0449 1 ThAr
  8006.1567 1 ThAr
  8014.7857 1 ThAr
  8017.5275 1 ThAr
  8022.2014 1 ThAr
  8024.2530 1 ThAr
  8025.7271 1 ThAr
  8026.2135 1 ThAr
  8030.2004 1 ThAr
  8032.4313 1 ThAr
  8037.2183 1 ThAr
  8046.1169 1 ThAr
  8050.6480 1 ThAr
  8053.3085 1 ThAr
  8054.5355 1 ThAr
  8062.6304 1 ThAr
  8075.6518 1 ThAr
  8085.2190 1 ThAr
  8089.4852 1 ThAr
  8092.2373 1 ThAr
  8093.6238 1 ThAr
  8094.0559 1 ThAr
  8103.6931 1 ThAr
  8115.3110 1 ThAr
  8119.1811 1 ThAr
  8122.7234 1 ThAr
  8129.4051 1 ThAr
  8138.4753 1 ThAr
