# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## xmask ymask | Alpha-tanx tany
-408.57142  -22.44898 -0.2451618 -0.8617478
-401.14285  -22.44898 -0.2406625 -0.8618047
-393.71427  -22.44898 -0.2361644 -0.8618599
-386.28570  -22.44898 -0.2316675 -0.8619134
-378.85713  -22.44898 -0.2271718 -0.8619653
-371.42856  -22.44898 -0.2226774 -0.8620155
-363.99999  -22.44898 -0.2181841 -0.8620640
-356.57142  -22.44898 -0.2136919 -0.8621109
-349.14285  -22.44898 -0.2092009 -0.8621562
-341.71428  -22.44898 -0.2047111 -0.8621997
-334.28571  -22.44898 -0.2002223 -0.8622417
-326.85713  -22.44898 -0.1957346 -0.8622819
-319.42856  -22.44898 -0.1912479 -0.8623206
-311.99999  -22.44898 -0.1867624 -0.8623576
-304.57142  -22.44898 -0.1822778 -0.8623929
-297.14285  -22.44898 -0.1777942 -0.8624266
-289.71428  -22.44898 -0.1733117 -0.8624587
-282.28571  -22.44898 -0.1688301 -0.8624891
-274.85714  -22.44898 -0.1643494 -0.8625179
-267.42856  -22.44898 -0.1598697 -0.8625450
-259.99999  -22.44898 -0.1553908 -0.8625705
-252.57142  -22.44898 -0.1509129 -0.8625944
-245.14285  -22.44898 -0.1464358 -0.8626167
-237.71428  -22.44898 -0.1419596 -0.8626373
-230.28571  -22.44898 -0.1374842 -0.8626563
-222.85714  -22.44898 -0.1330096 -0.8626737
-215.42857  -22.44898 -0.1285357 -0.8626895
-207.99999  -22.44898 -0.1240627 -0.8627036
-200.57142  -22.44898 -0.1195904 -0.8627161
-193.14285  -22.44898 -0.1151188 -0.8627270
-185.71428  -22.44898 -0.1106479 -0.8627363
-178.28571  -22.44898 -0.1061776 -0.8627440
-170.85714  -22.44898 -0.1017081 -0.8627500
-163.42857  -22.44898 -0.0972391 -0.8627545
-156.00000  -22.44898 -0.0927708 -0.8627573
-148.57142  -22.44898 -0.0883031 -0.8627585
-141.14285  -22.44898 -0.0838359 -0.8627581
-133.71428  -22.44898 -0.0793693 -0.8627561
-126.28571  -22.44898 -0.0749032 -0.8627524
-118.85714  -22.44898 -0.0704376 -0.8627472
-111.42857  -22.44898 -0.0659725 -0.8627404
-104.00000  -22.44898 -0.0615079 -0.8627319
 -96.57143  -22.44898 -0.0570436 -0.8627219
 -89.14285  -22.44898 -0.0525799 -0.8627102
 -81.71428  -22.44898 -0.0481165 -0.8626970
 -74.28571  -22.44898 -0.0436534 -0.8626821
 -66.85714  -22.44898 -0.0391907 -0.8626656
 -59.42857  -22.44898 -0.0347284 -0.8626475
 -52.00000  -22.44898 -0.0302663 -0.8626278
 -44.57143  -22.44898 -0.0258046 -0.8626065
 -37.14286  -22.44898 -0.0213431 -0.8625837
 -29.71428  -22.44898 -0.0168818 -0.8625592
 -22.28571  -22.44898 -0.0124207 -0.8625331
 -14.85714  -22.44898 -0.0079599 -0.8625054
  -7.42857  -22.44898 -0.0034992 -0.8624761
   0.00000  -22.44898  0.0009614 -0.8624451
   7.42857  -22.44898  0.0054218 -0.8624126
  14.85714  -22.44898  0.0098821 -0.8623785
  22.28571  -22.44898  0.0143424 -0.8623428
  29.71428  -22.44898  0.0188026 -0.8623055
  37.14286  -22.44898  0.0232627 -0.8622665
  44.57143  -22.44898  0.0277228 -0.8622260
  52.00000  -22.44898  0.0321830 -0.8621839
  59.42857  -22.44898  0.0366431 -0.8621401
  66.85714  -22.44898  0.0411034 -0.8620948
  74.28571  -22.44898  0.0455637 -0.8620478
  81.71428  -22.44898  0.0500241 -0.8619993
  89.14285  -22.44898  0.0544846 -0.8619491
  96.57143  -22.44898  0.0589452 -0.8618973
 104.00000  -22.44898  0.0634061 -0.8618439
 111.42857  -22.44898  0.0678671 -0.8617889
 118.85714  -22.44898  0.0723283 -0.8617323
 126.28571  -22.44898  0.0767898 -0.8616741
 133.71428  -22.44898  0.0812515 -0.8616143
 141.14285  -22.44898  0.0857134 -0.8615528
 148.57142  -22.44898  0.0901757 -0.8614898
 156.00000  -22.44898  0.0946383 -0.8614251
 163.42857  -22.44898  0.0991012 -0.8613588
 170.85714  -22.44898  0.1035645 -0.8612909
 178.28571  -22.44898  0.1080282 -0.8612214
 185.71428  -22.44898  0.1124923 -0.8611503
 193.14285  -22.44898  0.1169568 -0.8610775
 200.57142  -22.44898  0.1214217 -0.8610031
 207.99999  -22.44898  0.1258871 -0.8609271
 215.42857  -22.44898  0.1303530 -0.8608495
 222.85714  -22.44898  0.1348194 -0.8607702
 230.28571  -22.44898  0.1392864 -0.8606893
 237.71428  -22.44898  0.1437539 -0.8606068
 245.14285  -22.44898  0.1482219 -0.8605226
 252.57142  -22.44898  0.1526906 -0.8604368
 259.99999  -22.44898  0.1571598 -0.8603494
 267.42856  -22.44898  0.1616297 -0.8602604
 274.85714  -22.44898  0.1661003 -0.8601697
 282.28571  -22.44898  0.1705715 -0.8600773
 289.71428  -22.44898  0.1750434 -0.8599833
 297.14285  -22.44898  0.1795160 -0.8598877
 304.57142  -22.44898  0.1839894 -0.8597904
 311.99999  -22.44898  0.1884635 -0.8596915
 319.42856  -22.44898  0.1929384 -0.8595910
 326.85713  -22.44898  0.1974140 -0.8594887
 334.28571  -22.44898  0.2018905 -0.8593849
 341.71428  -22.44898  0.2063678 -0.8592793
 349.14285  -22.44898  0.2108459 -0.8591721
 356.57142  -22.44898  0.2153249 -0.8590633
 363.99999  -22.44898  0.2198048 -0.8589527
 371.42856  -22.44898  0.2242856 -0.8588406
 378.85713  -22.44898  0.2287673 -0.8587267
 386.28570  -22.44898  0.2332500 -0.8586112
 393.71427  -22.44898  0.2377336 -0.8584940
 401.14285  -22.44898  0.2422181 -0.8583751
 408.57142  -22.44898  0.2467037 -0.8582545
-408.57142  -17.95918 -0.2455739 -0.8653283
-401.14285  -17.95918 -0.2410666 -0.8653842
-393.71427  -17.95918 -0.2365606 -0.8654383
-386.28570  -17.95918 -0.2320558 -0.8654908
-378.85713  -17.95918 -0.2275522 -0.8655417
-371.42856  -17.95918 -0.2230498 -0.8655909
-363.99999  -17.95918 -0.2185486 -0.8656385
-356.57142  -17.95918 -0.2140486 -0.8656844
-349.14285  -17.95918 -0.2095497 -0.8657287
-341.71428  -17.95918 -0.2050519 -0.8657714
-334.28571  -17.95918 -0.2005553 -0.8658124
-326.85713  -17.95918 -0.1960597 -0.8658518
-319.42856  -17.95918 -0.1915652 -0.8658896
-311.99999  -17.95918 -0.1870718 -0.8659257
-304.57142  -17.95918 -0.1825794 -0.8659602
-297.14285  -17.95918 -0.1780880 -0.8659931
-289.71428  -17.95918 -0.1735975 -0.8660244
-282.28571  -17.95918 -0.1691081 -0.8660540
-274.85714  -17.95918 -0.1646196 -0.8660820
-267.42856  -17.95918 -0.1601321 -0.8661084
-259.99999  -17.95918 -0.1556454 -0.8661332
-252.57142  -17.95918 -0.1511597 -0.8661564
-245.14285  -17.95918 -0.1466748 -0.8661780
-237.71428  -17.95918 -0.1421908 -0.8661979
-230.28571  -17.95918 -0.1377076 -0.8662163
-222.85714  -17.95918 -0.1332252 -0.8662330
-215.42857  -17.95918 -0.1287436 -0.8662482
-207.99999  -17.95918 -0.1242628 -0.8662617
-200.57142  -17.95918 -0.1197827 -0.8662736
-193.14285  -17.95918 -0.1153033 -0.8662840
-185.71428  -17.95918 -0.1108247 -0.8662927
-178.28571  -17.95918 -0.1063467 -0.8662998
-170.85714  -17.95918 -0.1018694 -0.8663054
-163.42857  -17.95918 -0.0973927 -0.8663093
-156.00000  -17.95918 -0.0929166 -0.8663117
-148.57142  -17.95918 -0.0884412 -0.8663124
-141.14285  -17.95918 -0.0839663 -0.8663116
-133.71428  -17.95918 -0.0794919 -0.8663091
-126.28571  -17.95918 -0.0750181 -0.8663051
-118.85714  -17.95918 -0.0705448 -0.8662995
-111.42857  -17.95918 -0.0660720 -0.8662922
-104.00000  -17.95918 -0.0615996 -0.8662834
 -96.57143  -17.95918 -0.0571277 -0.8662730
 -89.14285  -17.95918 -0.0526561 -0.8662611
 -81.71428  -17.95918 -0.0481850 -0.8662475
 -74.28571  -17.95918 -0.0437143 -0.8662323
 -66.85714  -17.95918 -0.0392439 -0.8662156
 -59.42857  -17.95918 -0.0347738 -0.8661973
 -52.00000  -17.95918 -0.0303041 -0.8661773
 -44.57143  -17.95918 -0.0258346 -0.8661558
 -37.14286  -17.95918 -0.0213654 -0.8661327
 -29.71428  -17.95918 -0.0168964 -0.8661081
 -22.28571  -17.95918 -0.0124277 -0.8660818
 -14.85714  -17.95918 -0.0079591 -0.8660540
  -7.42857  -17.95918 -0.0034907 -0.8660245
   0.00000  -17.95918  0.0009775 -0.8659935
   7.42857  -17.95918  0.0054457 -0.8659609
  14.85714  -17.95918  0.0099137 -0.8659267
  22.28571  -17.95918  0.0143816 -0.8658909
  29.71428  -17.95918  0.0188495 -0.8658536
  37.14286  -17.95918  0.0233173 -0.8658146
  44.57143  -17.95918  0.0277852 -0.8657741
  52.00000  -17.95918  0.0322530 -0.8657319
  59.42857  -17.95918  0.0367209 -0.8656882
  66.85714  -17.95918  0.0411888 -0.8656429
  74.28571  -17.95918  0.0456568 -0.8655960
  81.71428  -17.95918  0.0501249 -0.8655476
  89.14285  -17.95918  0.0545931 -0.8654975
  96.57143  -17.95918  0.0590615 -0.8654458
 104.00000  -17.95918  0.0635300 -0.8653926
 111.42857  -17.95918  0.0679988 -0.8653377
 118.85714  -17.95918  0.0724677 -0.8652813
 126.28571  -17.95918  0.0769369 -0.8652233
 133.71428  -17.95918  0.0814063 -0.8651637
 141.14285  -17.95918  0.0858760 -0.8651024
 148.57142  -17.95918  0.0903460 -0.8650396
 156.00000  -17.95918  0.0948163 -0.8649752
 163.42857  -17.95918  0.0992869 -0.8649092
 170.85714  -17.95918  0.1037580 -0.8648416
 178.28571  -17.95918  0.1082294 -0.8647724
 185.71428  -17.95918  0.1127012 -0.8647016
 193.14285  -17.95918  0.1171734 -0.8646291
 200.57142  -17.95918  0.1216461 -0.8645551
 207.99999  -17.95918  0.1261193 -0.8644795
 215.42857  -17.95918  0.1305929 -0.8644023
 222.85714  -17.95918  0.1350671 -0.8643234
 230.28571  -17.95918  0.1395418 -0.8642429
 237.71428  -17.95918  0.1440170 -0.8641609
 245.14285  -17.95918  0.1484929 -0.8640772
 252.57142  -17.95918  0.1529693 -0.8639919
 259.99999  -17.95918  0.1574463 -0.8639050
 267.42856  -17.95918  0.1619240 -0.8638164
 274.85714  -17.95918  0.1664024 -0.8637263
 282.28571  -17.95918  0.1708814 -0.8636345
 289.71428  -17.95918  0.1753611 -0.8635411
 297.14285  -17.95918  0.1798415 -0.8634460
 304.57142  -17.95918  0.1843227 -0.8633494
 311.99999  -17.95918  0.1888046 -0.8632511
 319.42856  -17.95918  0.1932873 -0.8631512
 326.85713  -17.95918  0.1977708 -0.8630496
 334.28571  -17.95918  0.2022551 -0.8629464
 341.71428  -17.95918  0.2067403 -0.8628415
 349.14285  -17.95918  0.2112263 -0.8627351
 356.57142  -17.95918  0.2157131 -0.8626269
 363.99999  -17.95918  0.2202009 -0.8625171
 371.42856  -17.95918  0.2246895 -0.8624057
 378.85713  -17.95918  0.2291791 -0.8622926
 386.28570  -17.95918  0.2336697 -0.8621779
 393.71427  -17.95918  0.2381612 -0.8620615
 401.14285  -17.95918  0.2426536 -0.8619435
 408.57142  -17.95918  0.2471471 -0.8618238
-408.57142  -13.46939 -0.2459880 -0.8689215
-401.14285  -13.46939 -0.2414727 -0.8689763
-393.71427  -13.46939 -0.2369587 -0.8690294
-386.28570  -13.46939 -0.2324459 -0.8690809
-378.85713  -13.46939 -0.2279343 -0.8691307
-371.42856  -13.46939 -0.2234240 -0.8691790
-363.99999  -13.46939 -0.2189149 -0.8692256
-356.57142  -13.46939 -0.2144069 -0.8692705
-349.14285  -13.46939 -0.2099001 -0.8693139
-341.71428  -13.46939 -0.2053944 -0.8693556
-334.28571  -13.46939 -0.2008898 -0.8693958
-326.85713  -13.46939 -0.1963863 -0.8694343
-319.42856  -13.46939 -0.1918839 -0.8694712
-311.99999  -13.46939 -0.1873826 -0.8695064
-304.57142  -13.46939 -0.1828823 -0.8695401
-297.14285  -13.46939 -0.1783830 -0.8695722
-289.71428  -13.46939 -0.1738848 -0.8696026
-282.28571  -13.46939 -0.1693875 -0.8696315
-274.85714  -13.46939 -0.1648911 -0.8696588
-267.42856  -13.46939 -0.1603957 -0.8696844
-259.99999  -13.46939 -0.1559013 -0.8697085
-252.57142  -13.46939 -0.1514077 -0.8697309
-245.14285  -13.46939 -0.1469150 -0.8697518
-237.71428  -13.46939 -0.1424231 -0.8697711
-230.28571  -13.46939 -0.1379321 -0.8697888
-222.85714  -13.46939 -0.1334419 -0.8698049
-215.42857  -13.46939 -0.1289525 -0.8698194
-207.99999  -13.46939 -0.1244638 -0.8698323
-200.57142  -13.46939 -0.1199759 -0.8698437
-193.14285  -13.46939 -0.1154888 -0.8698534
-185.71428  -13.46939 -0.1110023 -0.8698616
-178.28571  -13.46939 -0.1065166 -0.8698682
-170.85714  -13.46939 -0.1020315 -0.8698732
-163.42857  -13.46939 -0.0975470 -0.8698767
-156.00000  -13.46939 -0.0930631 -0.8698785
-148.57142  -13.46939 -0.0885799 -0.8698788
-141.14285  -13.46939 -0.0840972 -0.8698775
-133.71428  -13.46939 -0.0796151 -0.8698746
-126.28571  -13.46939 -0.0751335 -0.8698702
-118.85714  -13.46939 -0.0706525 -0.8698642
-111.42857  -13.46939 -0.0661719 -0.8698566
-104.00000  -13.46939 -0.0616918 -0.8698474
 -96.57143  -13.46939 -0.0572121 -0.8698367
 -89.14285  -13.46939 -0.0527328 -0.8698244
 -81.71428  -13.46939 -0.0482539 -0.8698105
 -74.28571  -13.46939 -0.0437755 -0.8697950
 -66.85714  -13.46939 -0.0392973 -0.8697780
 -59.42857  -13.46939 -0.0348195 -0.8697594
 -52.00000  -13.46939 -0.0303420 -0.8697393
 -44.57143  -13.46939 -0.0258648 -0.8697176
 -37.14286  -13.46939 -0.0213879 -0.8696943
 -29.71428  -13.46939 -0.0169112 -0.8696694
 -22.28571  -13.46939 -0.0124347 -0.8696430
 -14.85714  -13.46939 -0.0079584 -0.8696150
  -7.42857  -13.46939 -0.0034822 -0.8695854
   0.00000  -13.46939  0.0009938 -0.8695543
   7.42857  -13.46939  0.0054696 -0.8695216
  14.85714  -13.46939  0.0099454 -0.8694873
  22.28571  -13.46939  0.0144210 -0.8694515
  29.71428  -13.46939  0.0188966 -0.8694141
  37.14286  -13.46939  0.0233722 -0.8693751
  44.57143  -13.46939  0.0278478 -0.8693346
  52.00000  -13.46939  0.0323234 -0.8692925
  59.42857  -13.46939  0.0367990 -0.8692488
  66.85714  -13.46939  0.0412746 -0.8692035
  74.28571  -13.46939  0.0457504 -0.8691567
  81.71428  -13.46939  0.0502262 -0.8691083
  89.14285  -13.46939  0.0547022 -0.8690583
  96.57143  -13.46939  0.0591783 -0.8690068
 104.00000  -13.46939  0.0636546 -0.8689537
 111.42857  -13.46939  0.0681310 -0.8688990
 118.85714  -13.46939  0.0726077 -0.8688427
 126.28571  -13.46939  0.0770846 -0.8687849
 133.71428  -13.46939  0.0815618 -0.8687255
 141.14285  -13.46939  0.0860392 -0.8686645
 148.57142  -13.46939  0.0905170 -0.8686019
 156.00000  -13.46939  0.0949951 -0.8685378
 163.42857  -13.46939  0.0994735 -0.8684720
 170.85714  -13.46939  0.1039523 -0.8684047
 178.28571  -13.46939  0.1084315 -0.8683358
 185.71428  -13.46939  0.1129110 -0.8682653
 193.14285  -13.46939  0.1173911 -0.8681933
 200.57142  -13.46939  0.1218715 -0.8681196
 207.99999  -13.46939  0.1263525 -0.8680444
 215.42857  -13.46939  0.1308339 -0.8679675
 222.85714  -13.46939  0.1353159 -0.8678891
 230.28571  -13.46939  0.1397984 -0.8678091
 237.71428  -13.46939  0.1442814 -0.8677275
 245.14285  -13.46939  0.1487651 -0.8676442
 252.57142  -13.46939  0.1532493 -0.8675594
 259.99999  -13.46939  0.1577342 -0.8674730
 267.42856  -13.46939  0.1622197 -0.8673850
 274.85714  -13.46939  0.1667058 -0.8672954
 282.28571  -13.46939  0.1711927 -0.8672042
 289.71428  -13.46939  0.1756802 -0.8671113
 297.14285  -13.46939  0.1801685 -0.8670169
 304.57142  -13.46939  0.1846575 -0.8669208
 311.99999  -13.46939  0.1891473 -0.8668232
 319.42856  -13.46939  0.1936379 -0.8667239
 326.85713  -13.46939  0.1981292 -0.8666230
 334.28571  -13.46939  0.2026214 -0.8665205
 341.71428  -13.46939  0.2071144 -0.8664163
 349.14285  -13.46939  0.2116083 -0.8663105
 356.57142  -13.46939  0.2161031 -0.8662031
 363.99999  -13.46939  0.2205987 -0.8660941
 371.42856  -13.46939  0.2250953 -0.8659835
 378.85713  -13.46939  0.2295928 -0.8658712
 386.28570  -13.46939  0.2340913 -0.8657572
 393.71427  -13.46939  0.2385907 -0.8656417
 401.14285  -13.46939  0.2430911 -0.8655244
 408.57142  -13.46939  0.2475925 -0.8654056
-408.57142   -8.97959 -0.2464039 -0.8725275
-401.14285   -8.97959 -0.2418806 -0.8725811
-393.71427   -8.97959 -0.2373586 -0.8726332
-386.28570   -8.97959 -0.2328378 -0.8726837
-378.85713   -8.97959 -0.2283183 -0.8727325
-371.42856   -8.97959 -0.2237999 -0.8727797
-363.99999   -8.97959 -0.2192828 -0.8728253
-356.57142   -8.97959 -0.2147669 -0.8728694
-349.14285   -8.97959 -0.2102521 -0.8729118
-341.71428   -8.97959 -0.2057384 -0.8729526
-334.28571   -8.97959 -0.2012259 -0.8729918
-326.85713   -8.97959 -0.1967145 -0.8730294
-319.42856   -8.97959 -0.1922042 -0.8730654
-311.99999   -8.97959 -0.1876949 -0.8730998
-304.57142   -8.97959 -0.1831867 -0.8731327
-297.14285   -8.97959 -0.1786795 -0.8731639
-289.71428   -8.97959 -0.1741733 -0.8731936
-282.28571   -8.97959 -0.1696681 -0.8732216
-274.85714   -8.97959 -0.1651639 -0.8732481
-267.42856   -8.97959 -0.1606606 -0.8732730
-259.99999   -8.97959 -0.1561583 -0.8732963
-252.57142   -8.97959 -0.1516568 -0.8733181
-245.14285   -8.97959 -0.1471562 -0.8733383
-237.71428   -8.97959 -0.1426565 -0.8733569
