# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## xmask ymask | Alpha-tanx tany
 378.85713  -22.44898  0.2314295 -0.8596303
 386.28570  -22.44898  0.2359193 -0.8595323
 393.71427  -22.44898  0.2404102 -0.8594326
 401.14285  -22.44898  0.2449021 -0.8593313
 408.57142  -22.44898  0.2493953 -0.8592282
-408.57142  -17.95918 -0.2428952 -0.8643661
-401.14285  -17.95918 -0.2383953 -0.8644396
-393.71427  -17.95918 -0.2338965 -0.8645115
-386.28570  -17.95918 -0.2293988 -0.8645817
-378.85713  -17.95918 -0.2249022 -0.8646502
-371.42856  -17.95918 -0.2204067 -0.8647172
-363.99999  -17.95918 -0.2159122 -0.8647824
-356.57142  -17.95918 -0.2114187 -0.8648461
-349.14285  -17.95918 -0.2069263 -0.8649081
-341.71428  -17.95918 -0.2024348 -0.8649684
-334.28571  -17.95918 -0.1979443 -0.8650271
-326.85713  -17.95918 -0.1934547 -0.8650842
-319.42856  -17.95918 -0.1889661 -0.8651397
-311.99999  -17.95918 -0.1844784 -0.8651935
-304.57142  -17.95918 -0.1799916 -0.8652457
-297.14285  -17.95918 -0.1755056 -0.8652963
-289.71428  -17.95918 -0.1710205 -0.8653452
-282.28571  -17.95918 -0.1665363 -0.8653925
-274.85714  -17.95918 -0.1620528 -0.8654382
-267.42856  -17.95918 -0.1575702 -0.8654823
-259.99999  -17.95918 -0.1530883 -0.8655248
-252.57142  -17.95918 -0.1486072 -0.8655657
-245.14285  -17.95918 -0.1441268 -0.8656049
-237.71428  -17.95918 -0.1396472 -0.8656425
-230.28571  -17.95918 -0.1351682 -0.8656786
-222.85714  -17.95918 -0.1306899 -0.8657130
-215.42857  -17.95918 -0.1262122 -0.8657458
-207.99999  -17.95918 -0.1217352 -0.8657770
-200.57142  -17.95918 -0.1172587 -0.8658066
-193.14285  -17.95918 -0.1127829 -0.8658346
-185.71428  -17.95918 -0.1083076 -0.8658610
-178.28571  -17.95918 -0.1038329 -0.8658858
-170.85714  -17.95918 -0.0993587 -0.8659090
-163.42857  -17.95918 -0.0948850 -0.8659306
-156.00000  -17.95918 -0.0904118 -0.8659506
-148.57142  -17.95918 -0.0859390 -0.8659690
-141.14285  -17.95918 -0.0814667 -0.8659858
-133.71428  -17.95918 -0.0769948 -0.8660010
-126.28571  -17.95918 -0.0725232 -0.8660146
-118.85714  -17.95918 -0.0680521 -0.8660266
